L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
10,2,5,5,0.0,0.5,5.0,5.0,1.0,57,17,40,0.2982,1.6833,95.9461,117.0767,1.6941,13.7746,-3.4555,-25.6601,10.96,23.6027,-7.1599,"{'sl': 40, 'tp': 17}",43,1.258,0.526
10,2,7,5,0.0,0.5,5.0,5.0,1.0,63,18,45,0.2857,1.3196,83.1327,89.7825,1.5274,13.376,-3.503,-29.4057,10.9,23.6027,-7.1599,"{'sl': 45, 'tp': 18}",47,1.094,0.508
10,2,5,5,0.0,0.5,5.0,4.0,1.0,57,19,38,0.3333,1.6331,93.0851,116.9323,1.7207,11.6971,-3.3989,-17.0247,9.61,21.8246,-7.1599,"{'sl': 38, 'tp': 19}",43,1.091,0.509
10,2,5,5,0.0,0.5,5.0,5.0,1.5,57,19,38,0.3333,1.5123,86.1987,81.3945,1.4492,14.6365,-5.0499,-39.8739,15.05,35.1995,-9.8688,"{'sl': 38, 'tp': 19}",43,1.078,0.474
10,2,5,5,0.0,0.0,5.0,5.0,1.0,63,19,44,0.3016,1.9382,122.1067,171.2304,1.8147,14.3151,-3.4064,-23.0634,11.98,27.4512,-7.1599,"{'sl': 44, 'tp': 19}",47,1.038,0.508
7,3,5,3,0.0,0.0,10.0,4.0,1.0,21,6,15,0.2857,0.4486,9.4197,5.0461,1.1717,10.7124,-3.657,-34.9284,11.38,14.005,-5.7174,"{'tp': 6, 'sl': 15}",18,1.006,0.619
10,3,5,5,0.0,0.5,5.0,4.0,1.0,34,10,24,0.2941,1.4387,48.9155,48.1955,1.6148,12.8478,-3.3151,-25.0565,9.26,21.8246,-6.2608,"{'tp': 10, 'sl': 24}",27,0.96,0.647
10,2,7,5,0.0,0.5,5.0,4.0,1.0,63,20,43,0.3175,1.2529,78.9315,87.2719,1.5313,11.3753,-3.4552,-19.1757,9.67,21.8246,-7.1599,"{'sl': 43, 'tp': 20}",47,0.945,0.492
7,3,7,3,0.0,0.5,10.0,4.0,1.0,27,6,21,0.2222,-0.2852,-7.7013,-12.3936,0.9012,11.7014,-3.71,-40.2018,8.74,14.005,-5.9477,"{'sl': 21, 'tp': 6}",24,0.938,0.556
10,2,5,5,0.0,0.5,5.0,6.0,1.5,57,19,38,0.3333,2.4947,142.1977,191.2282,1.741,17.5838,-5.0499,-35.925,15.68,42.2594,-9.8688,"{'sl': 38, 'tp': 19}",43,0.932,0.526
