L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
10,2,5,5,0.05,0.5,10.0,5.0,1.5,22,6,16,0.2727,1.6638,36.6031,25.7175,1.4945,18.4384,-4.6267,-39.9874,23.36,35.1995,-8.3217,"{'tp': 5, 'sl': 16, 'end': 1}",18,1.365,0.591
7,2,7,5,0.05,0.5,10.0,4.0,2.0,38,17,21,0.4474,2.5216,95.8202,113.0329,1.7524,13.1279,-6.0644,-45.5728,20.79,28.1396,-13.125,"{'tp': 17, 'sl': 21}",30,1.333,0.526
10,2,5,5,0.05,0.0,10.0,5.0,1.5,25,6,19,0.24,0.8389,20.9731,7.0657,1.2339,18.4384,-4.7188,-48.891,23.08,35.1995,-8.3217,"{'tp': 5, 'sl': 19, 'end': 1}",21,1.303,0.64
10,2,5,3,0.0,0.5,5.0,4.0,1.0,21,7,14,0.3333,1.6464,34.5738,33.8687,1.7587,11.4487,-3.2548,-12.1753,8.43,14.374,-5.4444,"{'sl': 14, 'tp': 7}",21,1.233,0.571
7,3,7,3,0.0,0.0,10.0,4.0,1.0,23,6,17,0.2609,0.2606,5.9933,1.0924,1.0982,11.1719,-3.5905,-31.4981,9.61,14.005,-5.9477,"{'sl': 17, 'tp': 6}",20,1.166,0.565
7,2,5,5,0.05,0.5,10.0,4.0,2.0,35,15,20,0.4286,2.3228,81.2988,87.8909,1.6848,13.3343,-5.9358,-40.4269,20.69,28.1396,-13.125,"{'tp': 15, 'sl': 20}",28,1.125,0.543
10,2,5,3,0.0,0.5,10.0,4.0,1.0,24,7,17,0.2917,0.8244,19.7861,15.0313,1.3278,11.4487,-3.5503,-12.3253,10.17,14.374,-5.4444,"{'sl': 17, 'tp': 7}",24,1.111,0.542
10,2,5,3,0.0,0.0,5.0,4.0,1.0,24,7,17,0.2917,1.1555,27.7318,24.9149,1.5291,11.4487,-3.0829,-14.0323,8.33,14.374,-5.4444,"{'sl': 17, 'tp': 7}",23,1.099,0.583
7,3,5,3,0.05,0.5,10.0,4.0,1.0,23,7,16,0.3043,0.6997,16.0923,11.0565,1.2592,11.1693,-3.8808,-35.9009,7.17,14.7756,-5.8321,"{'tp': 7, 'sl': 16}",19,1.086,0.696
10,2,5,3,0.05,0.0,5.0,4.0,1.0,24,8,16,0.3333,1.9517,46.8404,48.1277,1.8684,12.5976,-3.3713,-12.229,7.5,21.8246,-5.4444,"{'sl': 16, 'tp': 8}",22,1.066,0.542
10,2,5,3,0.05,0.5,5.0,4.0,1.0,24,8,16,0.3333,1.9517,46.8404,48.1277,1.8684,12.5976,-3.3713,-12.229,7.5,21.8246,-5.4444,"{'sl': 16, 'tp': 8}",22,1.066,0.542
10,2,7,5,0.0,0.5,10.0,5.0,1.5,24,7,17,0.2917,0.4598,11.0344,-1.5445,1.1214,14.5655,-5.3485,-41.8333,15.12,35.1995,-8.3217,"{'tp': 6, 'sl': 17, 'end': 1}",22,1.033,0.542
5,2,5,5,0.0,0.5,10.0,4.0,2.0,63,22,41,0.3492,0.1233,7.7649,-21.6884,1.0289,12.5624,-6.5514,-69.9051,15.06,43.5001,-13.125,"{'sl': 40, 'tp': 19, 'end': 4}",44,1.007,0.476
5,2,7,5,0.0,0.5,10.0,4.0,2.0,63,22,41,0.3492,0.1233,7.7649,-21.6884,1.0289,12.5624,-6.5514,-69.9051,15.06,43.5001,-13.125,"{'sl': 40, 'tp': 19, 'end': 4}",44,1.007,0.476
10,2,5,3,0.0,0.0,10.0,4.0,1.0,27,7,20,0.2593,0.4794,12.9441,7.3374,1.1926,11.4487,-3.3598,-14.7019,9.89,14.374,-5.4444,"{'sl': 20, 'tp': 7}",26,1.005,0.556
5,2,5,5,0.05,0.5,10.0,4.0,2.0,85,32,53,0.3765,0.478,40.6309,0.7725,1.1216,11.7132,-6.3055,-58.7457,17.26,43.5001,-13.125,"{'sl': 52, 'tp': 29, 'end': 4}",58,0.955,0.506
5,2,7,5,0.05,0.5,10.0,4.0,2.0,85,32,53,0.3765,0.478,40.6309,0.7725,1.1216,11.7132,-6.3055,-58.7457,17.26,43.5001,-13.125,"{'sl': 52, 'tp': 29, 'end': 4}",58,0.955,0.506
10,2,7,5,0.05,0.5,10.0,5.0,1.5,31,7,24,0.2258,-0.1586,-4.9179,-18.4735,0.9597,16.7474,-5.0896,-57.9235,19.74,35.1995,-8.3217,"{'tp': 6, 'sl': 24, 'end': 1}",26,0.953,0.516
