L,S,W,k,eps,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit
5,3,5,3,0.05,4.0,2.0,157,79,78,0.5032,2.3715,372.329,1735.0121,1.6923,11.521,-6.8952,-77.2775,19.68,28.1396,-19.6788,"{'tp': 74, 'sl': 77, 'end': 6}",85
7,5,5,5,0.05,4.0,2.0,236,105,131,0.4449,1.7587,415.0433,1665.4991,1.4565,12.611,-6.9398,-65.2496,19.75,30.271,-17.3569,"{'tp': 100, 'sl': 128, 'end': 8}",91
7,5,7,5,0.05,4.0,2.0,236,105,131,0.4449,1.7587,415.0433,1665.4991,1.4565,12.611,-6.9398,-65.2496,19.75,30.271,-17.3569,"{'tp': 100, 'sl': 128, 'end': 8}",91
7,5,10,5,0.05,4.0,2.0,236,105,131,0.4449,1.7587,415.0433,1665.4991,1.4565,12.611,-6.9398,-65.2496,19.75,30.271,-17.3569,"{'tp': 100, 'sl': 128, 'end': 8}",91
5,3,7,3,0.05,4.0,2.0,158,79,79,0.5,2.3147,365.7183,1613.705,1.6717,11.521,-6.8916,-77.2775,19.63,28.1396,-19.6788,"{'tp': 74, 'sl': 78, 'end': 6}",85
5,3,10,3,0.05,4.0,2.0,158,79,79,0.5,2.3147,365.7183,1613.705,1.6717,11.521,-6.8916,-77.2775,19.63,28.1396,-19.6788,"{'tp': 74, 'sl': 78, 'end': 6}",85
7,5,5,5,0.05,3.0,2.0,241,123,118,0.5104,1.4223,342.7831,1076.1915,1.4137,9.5227,-7.0212,-69.1813,14.71,22.6782,-17.3569,"{'tp': 120, 'sl': 115, 'end': 6}",91
7,5,7,5,0.05,3.0,2.0,241,123,118,0.5104,1.4223,342.7831,1076.1915,1.4137,9.5227,-7.0212,-69.1813,14.71,22.6782,-17.3569,"{'tp': 120, 'sl': 115, 'end': 6}",91
7,5,10,5,0.05,3.0,2.0,241,123,118,0.5104,1.4223,342.7831,1076.1915,1.4137,9.5227,-7.0212,-69.1813,14.71,22.6782,-17.3569,"{'tp': 120, 'sl': 115, 'end': 6}",91
7,5,5,5,0.0,4.0,2.0,198,88,110,0.4444,1.7781,352.0619,1052.6667,1.4623,12.6549,-6.9234,-59.4009,20.42,30.271,-17.3569,"{'sl': 107, 'tp': 86, 'end': 5}",88
7,5,7,5,0.0,4.0,2.0,198,88,110,0.4444,1.7781,352.0619,1052.6667,1.4623,12.6549,-6.9234,-59.4009,20.42,30.271,-17.3569,"{'sl': 107, 'tp': 86, 'end': 5}",88
7,5,10,5,0.0,4.0,2.0,198,88,110,0.4444,1.7781,352.0619,1052.6667,1.4623,12.6549,-6.9234,-59.4009,20.42,30.271,-17.3569,"{'sl': 107, 'tp': 86, 'end': 5}",88
5,3,5,3,0.05,3.0,2.0,159,88,71,0.5535,1.7686,281.2101,809.9766,1.5728,8.7742,-6.9144,-69.8111,14.64,22.9036,-19.6788,"{'tp': 83, 'sl': 70, 'end': 6}",85
5,3,7,3,0.05,3.0,2.0,160,88,72,0.55,1.7162,274.5994,749.8208,1.5519,8.7742,-6.9102,-69.8111,14.62,22.9036,-19.6788,"{'tp': 83, 'sl': 71, 'end': 6}",85
5,3,10,3,0.05,3.0,2.0,160,88,72,0.55,1.7162,274.5994,749.8208,1.5519,8.7742,-6.9102,-69.8111,14.62,22.9036,-19.6788,"{'tp': 83, 'sl': 71, 'end': 6}",85
10,5,7,5,0.05,3.0,2.0,86,51,35,0.593,2.7626,237.5795,710.6678,2.1515,8.704,-5.895,-23.4059,13.67,17.6674,-14.0363,"{'tp': 50, 'sl': 34, 'end': 2}",58
10,5,5,5,0.05,3.0,2.0,85,50,35,0.5882,2.7154,230.8057,659.2385,2.1187,8.7426,-5.895,-23.4059,13.75,17.6674,-14.0363,"{'tp': 49, 'sl': 34, 'end': 2}",58
10,5,10,5,0.05,3.0,2.0,90,52,38,0.5778,2.5205,226.8406,622.8014,2.0145,8.6623,-5.8841,-23.4059,13.42,17.6674,-14.0363,"{'tp': 51, 'sl': 37, 'end': 2}",59
5,3,5,3,0.0,4.0,2.0,98,47,51,0.4796,2.5423,249.1439,576.3643,1.6891,12.9937,-7.0894,-62.0104,19.97,28.1396,-19.6788,"{'sl': 50, 'tp': 44, 'end': 4}",65
7,5,10,3,0.05,3.0,2.0,110,57,53,0.5182,2.1173,232.9062,572.7738,1.7141,9.8078,-6.1536,-35.7115,15.73,22.7963,-14.3329,"{'tp': 57, 'sl': 53}",64
5,3,7,3,0.0,4.0,2.0,99,47,52,0.4747,2.4498,242.5332,531.6519,1.6587,12.9937,-7.0802,-64.5218,19.89,28.1396,-19.6788,"{'sl': 51, 'tp': 44, 'end': 4}",65
5,3,10,3,0.0,4.0,2.0,99,47,52,0.4747,2.4498,242.5332,531.6519,1.6587,12.9937,-7.0802,-64.5218,19.89,28.1396,-19.6788,"{'sl': 51, 'tp': 44, 'end': 4}",65
