L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
7,3,5,3,0.05,0.0,10.0,6.0,1.5,24,10,14,0.4167,4.1238,98.9715,127.65,2.4336,16.801,-4.9313,-15.046,12.71,30.0457,-8.5261,"{'sl': 14, 'tp': 9, 'end': 1}",20,1.689,0.5
7,3,7,3,0.0,0.0,10.0,6.0,1.5,21,7,14,0.3333,2.5773,54.1234,48.6633,1.6628,19.3982,-5.8332,-35.561,15.48,22.1249,-8.8716,"{'sl': 14, 'tp': 7}",20,1.53,0.571
7,3,7,3,0.05,1.0,10.0,6.0,1.5,28,12,16,0.4286,4.1313,115.6751,158.8828,2.3224,16.9292,-5.4672,-28.7971,10.75,30.0457,-8.8716,"{'sl': 16, 'tp': 11, 'end': 1}",24,1.472,0.536
5,3,3,5,0.0,1.0,3.0,8.0,1.5,31,7,24,0.2258,1.4105,43.7249,28.9079,1.3978,21.9501,-4.5802,-26.4726,26.97,32.1264,-8.3217,"{'tp': 7, 'sl': 24}",22,1.462,0.548
5,3,5,5,0.0,1.0,3.0,8.0,1.5,31,7,24,0.2258,1.4105,43.7249,28.9079,1.3978,21.9501,-4.5802,-26.4726,26.97,32.1264,-8.3217,"{'tp': 7, 'sl': 24}",22,1.462,0.548
5,3,7,5,0.0,1.0,3.0,8.0,1.5,31,7,24,0.2258,1.4105,43.7249,28.9079,1.3978,21.9501,-4.5802,-26.4726,26.97,32.1264,-8.3217,"{'tp': 7, 'sl': 24}",22,1.462,0.548
5,3,10,5,0.0,1.0,3.0,8.0,1.5,31,7,24,0.2258,1.4105,43.7249,28.9079,1.3978,21.9501,-4.5802,-26.4726,26.97,32.1264,-8.3217,"{'tp': 7, 'sl': 24}",22,1.462,0.548
7,3,10,3,0.0,0.5,10.0,6.0,1.5,21,6,15,0.2857,1.3923,29.2376,17.2724,1.3295,19.6602,-5.9149,-35.6743,12.29,22.1249,-8.8716,"{'sl': 15, 'tp': 6}",20,1.443,0.524
7,2,10,3,0.0,1.0,5.0,4.0,2.0,22,9,13,0.4091,0.9863,21.6979,11.6924,1.238,12.5394,-7.012,-23.178,18.32,19.3253,-10.5039,"{'sl': 13, 'tp': 9}",18,1.327,0.682
7,3,10,3,0.0,0.0,10.0,6.0,1.5,23,7,16,0.3043,1.9014,43.7323,33.5742,1.4751,19.3982,-5.7535,-37.8175,14.57,22.1249,-8.8716,"{'sl': 16, 'tp': 7}",21,1.313,0.522
5,3,3,5,0.0,1.0,3.0,6.0,1.0,31,6,25,0.1935,0.8038,24.9175,16.7389,1.3258,16.8993,-3.0591,-21.1666,20.9,24.0698,-5.5812,"{'tp': 6, 'sl': 25}",22,1.282,0.581
5,3,5,5,0.0,1.0,3.0,6.0,1.0,31,6,25,0.1935,0.8038,24.9175,16.7389,1.3258,16.8993,-3.0591,-21.1666,20.9,24.0698,-5.5812,"{'tp': 6, 'sl': 25}",22,1.282,0.581
5,3,7,5,0.0,1.0,3.0,6.0,1.0,31,6,25,0.1935,0.8038,24.9175,16.7389,1.3258,16.8993,-3.0591,-21.1666,20.9,24.0698,-5.5812,"{'tp': 6, 'sl': 25}",22,1.282,0.581
5,3,10,5,0.0,1.0,3.0,6.0,1.0,31,6,25,0.1935,0.8038,24.9175,16.7389,1.3258,16.8993,-3.0591,-21.1666,20.9,24.0698,-5.5812,"{'tp': 6, 'sl': 25}",22,1.282,0.581
