indicator,tp_pct,sl_pct,length,threshold,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
adx,3.0,3.0,10,25.0,1841,972,0.5279739272134709,0.06870325909831607,126.48269999999987,54.93255961588588,1.0469791209230794,-57.22997554445802,3.351982618142314,100,"{'sl': 868, 'tp': 972, 'end': 1}",ADX/DMI
adx,3.0,3.0,14,25.0,843,446,0.5290628706998813,0.07437722419928823,62.699999999999974,28.173024709919027,1.0509466157471352,-50.95525617060864,3.265717674970344,98,"{'sl': 397, 'tp': 446}",ADX/DMI
adx,3.0,3.0,14,20.0,1950,991,0.5082051282051282,-0.05076923076923081,-99.00000000000009,-84.57807519443608,0.9666991826163,-92.05805001402567,3.2333333333333334,98,"{'sl': 959, 'tp': 991}",ADX/DMI
adx,3.0,3.0,14,15.0,3804,1949,0.5123554153522608,-0.024021924290220882,-91.37940000000023,-92.76820360485671,0.9840898880911798,-95.45762001603246,3.3982649842271293,98,"{'tp': 1949, 'sl': 1852, 'end': 3}",ADX/DMI
adx,3.0,3.0,14,30.0,310,160,0.5161290322580645,-0.003225806451612909,-1.0000000000000018,-13.895367079332988,0.997849462365591,-37.730219557084986,3.129032258064516,96,"{'sl': 150, 'tp': 160}",ADX/DMI
adx,3.0,3.0,10,20.0,3561,1826,0.5127773097444538,-0.0228916877281663,-81.51730000000019,-91.10258866325573,0.9848393985899684,-95.36147782787295,3.316764953664701,100,"{'sl': 1734, 'tp': 1826, 'end': 1}",ADX/DMI
adx,3.0,3.0,10,15.0,5641,2890,0.5123205105477752,-0.025055539797908217,-141.33830000000026,-98.0798173033778,0.9834086057265738,-98.82839114626371,3.3538379719907816,100,"{'sl': 2746, 'tp': 2888, 'end': 7}",ADX/DMI
adx,3.0,3.0,10,30.0,856,447,0.522196261682243,0.035026518691588744,29.982699999999966,-8.13850644873525,1.0236770831449582,-66.88367371742872,3.2651869158878504,99,"{'sl': 408, 'tp': 447, 'end': 1}",ADX/DMI
adx,3.0,3.0,20,20.0,870,442,0.5080459770114942,-0.05172413793103449,-45.00000000000001,-56.93026271066497,0.9660838106722938,-80.90952168897616,3.1310344827586207,98,"{'tp': 442, 'sl': 428}",ADX/DMI
adx,3.0,3.0,20,25.0,302,158,0.5231788079470199,0.03907284768211923,11.800000000000008,-1.7679725368192845,1.026433691756272,-36.536510119169755,3.115894039735099,95,"{'tp': 158, 'sl': 144}",ADX/DMI
adx,3.0,3.0,20,15.0,2168,1105,0.5096863468634686,-0.041881918819188235,-90.8000000000001,-84.82376239370817,0.9724456043455827,-96.86899832761296,3.356549815498155,98,"{'tp': 1105, 'sl': 1063}",ADX/DMI
adx,3.0,3.0,20,30.0,102,53,0.5196078431372549,0.0176470588235294,1.799999999999999,-2.7521658147104056,1.011849901250823,-34.38961264115764,2.9313725490196076,63,"{'sl': 49, 'tp': 53}",ADX/DMI
