combo,n,wr,pf,avg,hold
base(d3),5201,0.622,1.163,0.252,2.4
delta0.006,1028,0.627,1.196,0.298,1.7
delta0.01,165,0.594,1.035,0.058,1.5
d3+vol1.5+macd,1073,0.628,1.195,0.297,2.3
d6+vol1.5,196,0.663,1.393,0.543,1.4
d6+adx25,779,0.616,1.139,0.218,1.7
d6+align,941,0.622,1.17,0.262,1.7
d6+above20,986,0.629,1.203,0.308,1.7
d6+vol+adx+align,272,0.662,1.384,0.532,1.4
d6+vol+macd+align,291,0.646,1.298,0.43,1.5
d6+macd+adx,785,0.627,1.192,0.292,1.7
d8+vol+macd,109,0.642,1.27,0.395,1.3
d10+vol+macd+adx,42,0.714,1.768,0.9,1.5
