tp,sl,aw,delta,n,wr,pf,avg,hold
1,7,3,0.004,937,0.846,0.707,-0.315,1.4
1,7,5,0.003,5912,0.872,0.875,-0.112,1.9
2,7,3,0.004,880,0.78,0.959,-0.063,1.8
2,7,5,0.003,5120,0.8,1.08,0.113,2.8
3,7,3,0.004,821,0.73,1.111,0.211,2.3
3,7,5,0.003,4572,0.739,1.163,0.3,3.6
4,7,3,0.004,777,0.682,1.185,0.415,2.7
4,7,5,0.003,4142,0.685,1.2,0.444,4.4
2,5,3,0.004,916,0.74,1.077,0.1,1.5
2,5,5,0.003,5456,0.741,1.073,0.096,2.2
3,5,3,0.004,862,0.672,1.174,0.289,1.8
3,5,5,0.003,4936,0.669,1.153,0.258,2.8
3,6,3,0.004,838,0.702,1.126,0.227,2.1
3,6,5,0.003,4724,0.706,1.145,0.259,3.2
2,4,3,0.004,934,0.709,1.138,0.163,1.4
2,4,5,0.003,5701,0.697,1.069,0.086,1.9
1,4,3,0.004,982,0.79,0.831,-0.145,1.2
1,4,5,0.003,6366,0.799,0.877,-0.101,1.4
2,6,3,0.004,893,0.76,1.0,0.0,1.7
2,6,5,0.003,5258,0.771,1.053,0.073,2.5
3,8,3,0.004,807,0.75,1.082,0.164,2.6
3,8,5,0.003,4468,0.761,1.145,0.279,4.1
5,10,3,0.004,713,0.71,1.213,0.609,4.2
5,10,5,0.003,3515,0.721,1.268,0.746,7.3
4,10,3,0.004,750,0.751,1.187,0.46,3.6
4,10,5,0.003,3857,0.761,1.242,0.577,6.0
3,4,3,0.004,882,0.627,1.198,0.3,1.6
3,4,5,0.003,5201,0.622,1.163,0.252,2.4
2,3,3,0.004,955,0.673,1.269,0.271,1.3
2,3,5,0.003,6030,0.643,1.104,0.115,1.6
