tp,sl,w,aw,delta,n,wr,pf,avg,hold
3,5,10,3,0.01,5353,0.631,0.973,-0.051,2.9
3,5,20,5,0.005,5586,0.625,0.95,-0.095,2.9
3,5,30,10,0.002,11528,0.643,1.026,0.047,3.6
5,5,10,3,0.01,4881,0.52,1.04,0.099,4.4
5,5,20,5,0.005,4840,0.516,1.025,0.061,4.2
5,5,30,10,0.002,9288,0.538,1.121,0.283,5.3
10,10,10,3,0.01,3762,0.548,1.196,0.885,14.9
10,10,20,5,0.005,3290,0.563,1.266,1.163,14.7
10,10,30,10,0.002,4852,0.569,1.295,1.272,16.6
15,15,10,3,0.01,2760,0.579,1.366,2.281,30.8
15,15,20,5,0.005,2464,0.584,1.388,2.386,30.3
15,15,30,10,0.002,3061,0.595,1.462,2.761,33.4
20,15,10,3,0.01,2371,0.52,1.421,2.985,40.0
20,15,20,5,0.005,2134,0.526,1.446,3.128,39.1
20,15,30,10,0.002,2480,0.536,1.505,3.471,43.6
10,20,10,3,0.01,2884,0.719,1.297,1.619,28.4
10,20,20,5,0.005,2655,0.731,1.396,2.035,28.3
10,20,30,10,0.002,3359,0.743,1.487,2.395,31.3
20,10,10,3,0.01,2941,0.411,1.356,2.099,26.2
20,10,20,5,0.005,2544,0.423,1.411,2.383,26.6
20,10,30,10,0.002,3218,0.429,1.446,2.548,29.8
