window,accel,delta,n,wr,pf,avg,hold
5,5,0.003,20941,0.58,0.978,-0.037,3.5
10,5,0.003,17573,0.581,0.98,-0.035,3.4
15,5,0.003,13966,0.569,0.932,-0.12,3.2
20,5,0.003,10547,0.569,0.935,-0.115,2.9
25,5,0.003,7564,0.574,0.952,-0.084,2.6
30,5,0.003,5201,0.587,1.007,0.011,2.4
35,5,0.003,3529,0.576,0.96,-0.07,2.2
40,5,0.003,2320,0.553,0.874,-0.231,2.0
45,5,0.003,1446,0.549,0.864,-0.25,1.7
50,5,0.003,936,0.52,0.767,-0.458,1.5
55,5,0.003,601,0.514,0.749,-0.499,1.4
60,5,0.003,382,0.476,0.644,-0.765,1.3
5,10,0.002,21156,0.582,0.985,-0.026,3.5
10,10,0.002,18236,0.576,0.96,-0.069,3.4
15,10,0.002,17191,0.575,0.959,-0.071,3.3
20,10,0.002,15632,0.575,0.959,-0.071,3.2
25,10,0.002,14200,0.583,0.987,-0.022,3.1
30,10,0.002,12508,0.586,1.001,0.002,3.1
35,10,0.002,11040,0.581,0.981,-0.032,2.9
40,10,0.002,9892,0.579,0.973,-0.046,2.8
45,10,0.002,8667,0.573,0.949,-0.09,2.6
50,10,0.002,7429,0.565,0.919,-0.145,2.5
55,10,0.002,6254,0.561,0.906,-0.168,2.4
60,10,0.002,5176,0.564,0.916,-0.15,2.3
5,3,0.004,21447,0.579,0.972,-0.048,3.4
10,3,0.004,14560,0.583,0.989,-0.019,3.3
15,3,0.004,8652,0.575,0.956,-0.077,2.8
20,3,0.004,4263,0.556,0.886,-0.208,2.3
25,3,0.004,1985,0.548,0.859,-0.262,1.8
30,3,0.004,882,0.537,0.827,-0.327,1.6
35,3,0.004,438,0.523,0.778,-0.431,1.5
40,3,0.004,186,0.495,0.692,-0.638,1.4
45,3,0.004,80,0.45,0.579,-0.95,1.4
50,3,0.004,44,0.455,0.589,-0.918,1.4
55,3,0.004,28,0.357,0.393,-1.6,1.3
60,3,0.004,19,0.316,0.326,-1.889,1.5
