window,accel,delta,n,wr,pf,avg,hold
5,5,0.003,20941,0.596,1.045,0.074,3.5
10,5,0.003,17573,0.599,1.055,0.091,3.4
15,5,0.003,13966,0.591,1.021,0.035,3.2
20,5,0.003,10547,0.593,1.033,0.054,2.9
25,5,0.003,7564,0.604,1.077,0.126,2.6
30,5,0.003,5201,0.622,1.163,0.252,2.4
35,5,0.003,3529,0.617,1.143,0.224,2.2
40,5,0.003,2320,0.61,1.107,0.17,2.0
45,5,0.003,1446,0.616,1.141,0.22,1.7
50,5,0.003,936,0.607,1.092,0.148,1.5
55,5,0.003,601,0.621,1.159,0.247,1.4
60,5,0.003,382,0.613,1.118,0.188,1.3
5,10,0.002,21156,0.598,1.053,0.087,3.5
10,10,0.002,18236,0.595,1.037,0.062,3.4
15,10,0.002,17191,0.594,1.038,0.063,3.3
20,10,0.002,15632,0.596,1.042,0.069,3.2
25,10,0.002,14200,0.602,1.068,0.111,3.1
30,10,0.002,12508,0.607,1.095,0.152,3.1
35,10,0.002,11040,0.604,1.078,0.126,2.9
40,10,0.002,9892,0.606,1.089,0.143,2.8
45,10,0.002,8667,0.6,1.063,0.104,2.6
50,10,0.002,7429,0.594,1.036,0.06,2.5
55,10,0.002,6254,0.594,1.034,0.057,2.4
60,10,0.002,5176,0.6,1.064,0.104,2.3
5,3,0.004,21447,0.594,1.036,0.059,3.4
10,3,0.004,14560,0.605,1.082,0.133,3.3
15,3,0.004,8652,0.604,1.077,0.125,2.8
20,3,0.004,4263,0.598,1.053,0.088,2.3
25,3,0.004,1985,0.611,1.11,0.175,1.8
30,3,0.004,882,0.627,1.198,0.3,1.6
35,3,0.004,438,0.648,1.312,0.448,1.5
40,3,0.004,186,0.629,1.199,0.303,1.4
45,3,0.004,80,0.6,1.061,0.1,1.4
50,3,0.004,44,0.659,1.367,0.514,1.4
55,3,0.004,28,0.571,0.943,-0.1,1.3
60,3,0.004,19,0.526,0.786,-0.416,1.5
