window,accel,delta,n,wr,pf,avg,hold,cum
5,5,0.003,17233,0.715,1.028,0.057,5.2,-100.0
10,5,0.003,14864,0.712,1.011,0.023,5.2,-100.0
15,5,0.003,12076,0.707,0.986,-0.029,5.0,-100.0
20,5,0.003,9169,0.71,1.002,0.004,4.7,-100.0
25,5,0.003,6638,0.71,1.006,0.011,4.1,-99.8
30,5,0.003,4572,0.726,1.09,0.173,3.6,2531.9
35,5,0.003,3106,0.712,1.015,0.03,3.3,-90.2
40,5,0.003,2059,0.697,0.95,-0.107,2.9,-98.8
45,5,0.003,1294,0.687,0.91,-0.197,2.5,-98.1
50,5,0.003,840,0.681,0.874,-0.284,2.1,-96.4
55,5,0.003,539,0.664,0.82,-0.422,1.9,-94.4
60,5,0.003,351,0.63,0.694,-0.804,1.7,-96.1
5,10,0.002,17295,0.716,1.034,0.068,5.3,-99.8
10,10,0.002,15041,0.711,1.005,0.01,5.2,-100.0
15,10,0.002,13927,0.716,1.034,0.069,5.1,-99.3
20,10,0.002,12733,0.714,1.024,0.049,5.1,-99.9
25,10,0.002,11608,0.718,1.041,0.081,4.9,-92.6
30,10,0.002,10202,0.723,1.071,0.139,4.7,4024.5
35,10,0.002,9024,0.721,1.061,0.121,4.5,403.2
40,10,0.002,8091,0.718,1.044,0.087,4.3,-73.1
45,10,0.002,7070,0.714,1.027,0.054,4.1,-97.3
50,10,0.002,6048,0.704,0.978,-0.046,3.9,-100.0
55,10,0.002,5114,0.7,0.958,-0.089,3.7,-100.0
60,10,0.002,4227,0.698,0.951,-0.104,3.4,-100.0
