delta,ma,n,wr,pf,avg,hold,per_month
0.006,3,80,0.537,0.835,-0.309,1.9,2.0
0.006,4,76,0.605,1.105,0.167,2.1,2.3
0.006,5,80,0.6,1.08,0.129,1.8,2.2
0.006,6,66,0.712,1.803,0.92,1.8,2.1
0.006,7,71,0.746,2.149,1.158,1.6,2.1
0.006,8,80,0.65,1.34,0.479,1.7,2.0
0.006,9,72,0.667,1.415,0.567,1.5,2.1
0.006,10,69,0.623,1.195,0.296,1.5,2.1
0.006,11,75,0.653,1.362,0.504,1.7,2.1
0.006,12,82,0.695,1.65,0.794,1.7,2.0
0.006,13,75,0.693,1.599,0.753,1.8,2.1
0.006,14,71,0.634,1.251,0.369,1.9,2.1
0.006,15,69,0.638,1.245,0.364,2.0,2.3
0.006,16,69,0.71,1.733,0.871,1.8,2.2
0.006,17,70,0.686,1.543,0.7,1.5,2.1
0.006,18,76,0.658,1.39,0.535,1.5,2.4
0.006,19,80,0.613,1.139,0.216,1.6,2.2
0.006,20,76,0.618,1.169,0.259,1.7,2.0
0.006,21,75,0.667,1.415,0.567,1.7,2.1
0.006,22,67,0.657,1.353,0.497,1.7,1.9
0.006,23,60,0.717,1.789,0.917,1.8,1.9
0.006,24,66,0.667,1.415,0.567,1.6,1.9
0.006,25,75,0.653,1.333,0.473,1.7,2.1
0.006,26,67,0.642,1.267,0.393,1.8,2.1
0.006,27,67,0.701,1.662,0.81,1.6,2.1
0.006,28,62,0.694,1.601,0.755,1.8,2.0
0.006,29,58,0.655,1.344,0.486,1.6,1.9
0.006,30,57,0.632,1.213,0.321,1.7,2.0
0.006,31,47,0.702,1.667,0.815,1.3,1.8
0.006,32,44,0.568,0.931,-0.123,1.4,1.8
0.006,33,43,0.512,0.741,-0.519,1.3,1.7
0.006,34,43,0.581,0.982,-0.03,1.4,1.9
0.006,35,41,0.61,1.105,0.168,1.2,1.8
0.006,36,39,0.641,1.263,0.387,1.4,1.7
0.006,37,42,0.619,1.149,0.233,1.4,1.8
0.006,38,41,0.683,1.523,0.68,1.4,1.8
0.006,39,35,0.6,1.105,0.165,1.5,1.7
0.006,40,39,0.667,1.415,0.567,1.5,1.8
