delta,ma,n,wr,pf,avg,hold,per_month
0.004,6,266,0.669,1.44,0.593,2.4,4.4
0.004,7,259,0.656,1.351,0.495,2.4,4.2
0.004,8,285,0.635,1.238,0.354,2.4,4.5
0.004,9,259,0.653,1.328,0.468,2.3,4.5
0.004,10,250,0.628,1.201,0.305,2.5,3.9
0.004,11,248,0.609,1.107,0.171,2.4,3.9
0.004,12,259,0.618,1.15,0.233,2.3,4.2
0.004,13,268,0.623,1.17,0.262,2.2,4.2
0.004,14,243,0.654,1.348,0.49,2.3,4.0
0.004,15,255,0.667,1.415,0.567,2.2,4.2
0.004,16,230,0.713,1.758,0.891,1.9,4.1
0.004,17,235,0.664,1.397,0.547,2.0,4.0
0.004,18,236,0.648,1.313,0.448,2.0,3.9
0.004,19,221,0.624,1.184,0.281,2.0,3.7
0.004,20,222,0.635,1.24,0.356,2.1,4.0
0.0045,6,191,0.66,1.383,0.53,2.0,3.7
0.0045,7,197,0.655,1.342,0.484,2.1,3.5
0.0045,8,203,0.631,1.216,0.325,2.1,3.6
0.0045,9,192,0.667,1.415,0.567,1.9,4.0
0.0045,10,184,0.647,1.306,0.44,2.0,3.2
0.0045,11,183,0.628,1.206,0.311,2.0,3.3
0.0045,12,189,0.63,1.212,0.32,1.9,3.4
0.0045,13,205,0.654,1.335,0.476,1.8,3.7
0.0045,14,173,0.671,1.454,0.607,1.9,3.3
0.0045,15,184,0.679,1.499,0.655,2.0,3.5
0.0045,16,182,0.731,1.92,1.015,1.8,3.5
0.0045,17,187,0.695,1.613,0.766,1.8,3.3
0.0045,18,183,0.656,1.359,0.503,1.9,3.5
0.0045,19,172,0.628,1.204,0.309,1.9,3.1
0.0045,20,172,0.663,1.404,0.553,2.0,3.2
0.005,6,137,0.693,1.621,0.771,2.0,2.9
0.005,7,134,0.731,1.925,1.019,1.8,2.7
0.005,8,142,0.662,1.401,0.55,1.8,2.9
0.005,9,130,0.669,1.431,0.585,1.7,3.1
0.005,10,132,0.606,1.1,0.16,1.7,2.7
0.005,11,132,0.636,1.252,0.372,1.9,2.8
0.005,12,139,0.64,1.273,0.399,1.8,2.7
0.005,13,149,0.651,1.319,0.457,1.7,2.9
0.005,14,127,0.669,1.451,0.603,1.8,2.7
0.005,15,144,0.681,1.507,0.664,1.9,2.9
0.005,16,136,0.743,2.041,1.099,1.8,2.8
0.005,17,144,0.694,1.608,0.761,1.6,3.1
0.005,18,140,0.679,1.512,0.666,1.7,3.0
0.005,19,141,0.645,1.302,0.434,1.8,2.8
0.005,20,134,0.679,1.517,0.671,1.8,2.7
0.0055,6,98,0.714,1.804,0.923,1.8,2.6
0.0055,7,94,0.777,2.526,1.361,1.7,2.5
0.0055,8,106,0.66,1.397,0.544,1.8,2.5
0.0055,9,94,0.702,1.667,0.815,1.6,2.6
0.0055,10,92,0.63,1.227,0.338,1.7,2.4
0.0055,11,93,0.634,1.248,0.366,1.7,2.4
0.0055,12,109,0.651,1.341,0.481,1.7,2.3
0.0055,13,106,0.651,1.319,0.457,1.7,2.3
0.0055,14,99,0.667,1.439,0.59,1.8,2.3
0.0055,15,105,0.676,1.477,0.633,1.8,2.5
0.0055,16,102,0.735,1.965,1.047,1.6,2.5
0.0055,17,104,0.712,1.745,0.881,1.5,2.7
0.0055,18,107,0.682,1.544,0.697,1.5,2.6
0.0055,19,109,0.642,1.288,0.416,1.8,2.4
0.0055,20,107,0.654,1.359,0.501,1.8,2.4
