combo,n,wr,pf,avg,hold,months,per_month
d3+stochg5,286,0.556,0.898,-0.184,2.6,59,4.8
d6+stochg5,31,0.452,0.582,-0.939,2.8,18,1.7
d8+stochg5,13,0.538,0.825,-0.331,3.5,9,1.4
d10+stochg5,6,0.833,3.537,1.733,4.8,4,1.5
d6+stochg5(40),45,0.422,0.517,-1.144,2.5,25,1.8
d6+stochg9,13,0.615,1.132,0.208,3.8,12,1.1
d8+stochg14,5,0.6,1.061,0.1,5.8,5,1.0
d6+stochbull,467,0.634,1.228,0.342,1.8,63,7.4
d4+stochg5,133,0.549,0.871,-0.236,2.5,47,2.8
d5+stochg5,53,0.528,0.792,-0.402,2.6,26,2.0
d3+stochg5(40),433,0.577,0.975,-0.042,2.4,66,6.6
