tp,sl,n,wr,pf,avg,hold
20,15,2198,0.513,1.382,2.747,38.7
10,20,2529,0.724,1.329,1.76,27.7
20,10,2656,0.404,1.315,1.88,25.9
15,15,2480,0.566,1.293,1.881,30.1
12,12,2974,0.559,1.245,1.294,19.5
15,10,2915,0.459,1.245,1.328,20.2
10,15,2880,0.652,1.241,1.242,20.7
12,10,3120,0.511,1.231,1.132,16.5
12,8,3286,0.456,1.228,1.0,13.1
10,10,3229,0.551,1.204,0.917,14.2
10,5,3571,0.383,1.201,0.63,7.5
8,8,3493,0.548,1.18,0.657,9.4
8,6,3608,0.476,1.175,0.558,7.3
8,5,3673,0.43,1.168,0.487,6.3
7,3,3959,0.336,1.127,0.262,3.6
5,5,3879,0.536,1.112,0.265,4.2
5,8,3753,0.644,1.098,0.281,6.2
5,3,4077,0.404,1.07,0.13,2.8
4,4,4071,0.522,1.039,0.076,2.9
5,2,4271,0.307,1.034,0.049,2.1
3,5,4118,0.636,0.994,-0.011,2.8
3,3,4284,0.495,0.915,-0.133,2.0
2,3,4418,0.553,0.76,-0.333,1.6
