indicator,tp_pct,sl_pct,period,signal,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
cmo,3.0,3.0,5,5,15215,7681,0.5048307591192902,-0.07058031547814662,-1073.879500000001,-99.99999771065708,0.9539472108487151,-99.99999953535085,3.0818928688793954,103,"{'sl': 7520, 'tp': 7666, 'end': 29}",CMO
cmo,3.0,3.0,5,10,13048,6674,0.5114960147148988,-0.029083200490496668,-379.4776000000005,-99.99365319894206,0.980756509167914,-99.998806012912,3.1509043531575722,103,"{'tp': 6665, 'sl': 6356, 'end': 27}",CMO
cmo,3.0,3.0,5,3,19465,9820,0.5044952478808117,-0.07224037503210894,-1406.1589000000004,-99.9999999878771,0.9529056082847822,-99.99999999226512,2.964603133829951,103,"{'tp': 9807, 'sl': 9629, 'end': 29}",CMO
cmo,3.0,3.0,9,10,11122,5687,0.5113288976802733,-0.03264092789066718,-363.0324000000004,-99.98229380044441,0.9784420703964979,-99.9965245927206,3.2028412156087036,99,"{'tp': 5680, 'sl': 5431, 'end': 11}",CMO
cmo,3.0,3.0,9,5,14944,7603,0.5087660599571735,-0.04613760037473237,-689.4803000000005,-99.99987896836319,0.969659101664425,-99.99998216906633,3.061429336188437,102,"{'tp': 7597, 'sl': 7326, 'end': 21}",CMO
cmo,3.0,3.0,9,3,19811,10030,0.5062843874615113,-0.06104437433748928,-1209.3501,-99.99999992567467,0.960061652505058,-99.99999997435191,2.986017868860734,103,"{'sl': 9763, 'tp': 10022, 'end': 26}",CMO
cmo,3.0,3.0,14,10,10489,5300,0.5052912575078654,-0.06837123653351133,-717.1459000000004,-99.99932099481967,0.955387831200124,-99.99966678314675,3.1719897034989035,98,"{'sl': 5184, 'tp': 5295, 'end': 10}",CMO
cmo,3.0,3.0,14,3,19839,10059,0.5070316044155452,-0.05691412369575081,-1129.1193000000003,-99.99999983618426,0.9627127568082363,-99.99999988576914,2.991279802409396,103,"{'sl': 9764, 'tp': 10051, 'end': 24}",CMO
cmo,3.0,3.0,20,10,10472,5219,0.49837662337662336,-0.10810321810542402,-1132.0569000000003,-99.99998921459226,0.9303502966503704,-99.99999388086204,3.2292780748663104,98,"{'sl': 5239, 'tp': 5210, 'end': 23}",CMO
cmo,3.0,3.0,14,5,15148,7762,0.5124108793240032,-0.02457343543702143,-372.23840000000064,-99.99735893565838,0.9837245405295698,-99.99801218916076,3.092289411143385,102,"{'sl': 7374, 'tp': 7757, 'end': 17}",CMO
cmo,3.0,3.0,20,5,15099,7509,0.49731770315914964,-0.11449507252135907,-1728.7611000000006,-99.99999999658095,0.9263991464356793,-99.99999999771678,3.120339095304325,103,"{'sl': 7573, 'tp': 7500, 'end': 26}",CMO
cmo,3.0,3.0,20,3,19820,9989,0.5039858728557013,-0.07603091826437942,-1506.9328000000003,-99.99999999623604,0.9505014689220942,-99.99999999722577,3.0058022199798184,103,"{'sl': 9817, 'tp': 9976, 'end': 27}",CMO
