ind_A,params_A,ind_B,params_B,tp_pct,sl_pct,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,n_months,monthly_freq
cci,"{'period': 10, 'threshold': 80}",hma_turn,{'n': 21},3.0,3.0,622,278,0.44694533762057875,-0.41832797427652724,-260.19999999999993,-94.41718175127176,0.7560015003750934,-95.29296470234272,3.1463022508038585,98,73,8.52
cci,"{'period': 10, 'threshold': 80}",hma_turn,{'n': 9},3.0,3.0,4971,2504,0.5037215851941259,-0.07713285053309195,-383.4274000000001,-99.76949770049805,0.9497633076220814,-99.84754730853187,3.343190504928586,100,73,68.1
cci,"{'period': 10, 'threshold': 80}",hma_turn,{'n': 15},3.0,3.0,1591,801,0.5034569453174105,-0.08061275927089885,-128.25490000000008,-86.46969419726635,0.9476296855859527,-89.9720252907863,3.2991829038340668,98,73,21.79
cci,"{'period': 10, 'threshold': 80}",hma_turn,{'n': 34},3.0,3.0,329,156,0.47416413373860183,-0.26156504559270516,-86.0549,-63.55646889292236,0.8395396233451422,-74.12805613874907,2.8480243161094223,93,73,4.51
cci,"{'period': 10, 'threshold': 80}",hma_turn,{'n': 55},3.0,3.0,133,72,0.5413533834586466,0.14812030075187965,19.699999999999992,14.724819477058592,1.1041776837652033,-20.051101600562816,3.1278195488721803,69,73,1.82
cci,"{'period': 10, 'threshold': 100}",hma_turn,{'n': 9},3.0,3.0,2531,1285,0.5077044646384828,-0.0541259976293955,-136.99290000000002,-91.87055792249026,0.9644896814626732,-93.193174917145,3.301066772026867,99,73,34.67
cci,"{'period': 10, 'threshold': 100}",hma_turn,{'n': 15},3.0,3.0,817,412,0.5042839657282742,-0.07429620563035497,-60.7,-62.30670463086183,0.9516527279968133,-81.50180800167213,3.1187270501835984,98,73,11.19
cci,"{'period': 10, 'threshold': 100}",hma_turn,{'n': 21},3.0,3.0,376,174,0.4627659574468085,-0.323404255319149,-121.60000000000004,-75.01506793492761,0.8058128393484502,-77.5750503119329,3.0930851063829787,96,73,5.15
cci,"{'period': 10, 'threshold': 100}",hma_turn,{'n': 55},3.0,3.0,88,48,0.5454545454545454,0.17272727272727267,15.199999999999996,11.91519883211134,1.1225806451612903,-17.216713807240247,3.352272727272727,55,73,1.21
cci,"{'period': 10, 'threshold': 150}",hma_turn,{'n': 15},3.0,3.0,128,54,0.421875,-0.5687500000000001,-72.80000000000001,-54.46034470942966,0.6826503923278117,-70.24136046907259,3.125,68,73,1.75
cci,"{'period': 10, 'threshold': 150}",hma_turn,{'n': 9},3.0,3.0,252,122,0.48412698412698413,-0.20653690476190487,-52.04730000000003,-46.96285037267636,0.8708503722084362,-70.6832566707964,3.5793650793650795,85,73,3.45
cci,"{'period': 10, 'threshold': 150}",hma_turn,{'n': 21},3.0,3.0,73,27,0.3698630136986301,-0.8808219178082193,-64.30000000000001,-49.171316310800876,0.5490883590462835,-52.80389796444596,2.767123287671233,51,73,1.0
cci,"{'period': 10, 'threshold': 100}",hma_turn,{'n': 34},3.0,3.0,228,110,0.4824561403508772,-0.20526315789473693,-46.80000000000002,-43.51971027200955,0.8720612356478938,-56.69190252981697,2.824561403508772,84,73,3.12
cci,"{'period': 10, 'threshold': 150}",hma_turn,{'n': 34},3.0,3.0,57,25,0.43859649122807015,-0.46842105263157907,-26.700000000000006,-25.398899406718257,0.7308467741935484,-35.86738871650408,2.2280701754385963,43,73,0.78
cci,"{'period': 10, 'threshold': 200}",hma_turn,{'n': 9},3.0,3.0,24,12,0.5,-0.10000000000000013,-2.400000000000003,-3.4238647964791924,0.9354838709677418,-17.695995573209277,2.9166666666666665,21,73,0.33
cci,"{'period': 10, 'threshold': 150}",hma_turn,{'n': 55},3.0,3.0,25,11,0.44,-0.46000000000000013,-11.500000000000004,-11.874417408325488,0.7350230414746541,-14.358034410423205,2.56,21,73,0.34
cci,"{'period': 10, 'threshold': 200}",hma_turn,{'n': 15},3.0,3.0,18,9,0.5,-0.10000000000000006,-1.8000000000000012,-2.579048644770643,0.9354838709677418,-17.695995573209277,3.1666666666666665,16,73,0.25
cci,"{'period': 10, 'threshold': 200}",hma_turn,{'n': 21},3.0,3.0,8,2,0.25,-1.6,-12.8,-12.345662464372086,0.31182795698924726,-14.568332102415116,2.625,7,73,0.11
cci,"{'period': 10, 'threshold': 200}",hma_turn,{'n': 34},3.0,3.0,14,9,0.6428571428571429,0.7571428571428572,10.600000000000001,10.498722764472612,1.6838709677419355,-9.278445545289104,2.142857142857143,12,73,0.19
cci,"{'period': 14, 'threshold': 80}",hma_turn,{'n': 15},3.0,3.0,2549,1307,0.5127500980776776,-0.02434480188309142,-62.054900000000025,-82.94567758761073,0.9838826814191466,-87.51953168015592,3.442134170262848,98,73,34.92
cci,"{'period': 14, 'threshold': 80}",hma_turn,{'n': 21},3.0,3.0,710,329,0.46338028169014084,-0.31971830985915495,-227.00000000000003,-92.51800604149525,0.8078062822792307,-92.89264022470836,3.3366197183098594,98,73,9.73
cci,"{'period': 10, 'threshold': 200}",hma_turn,{'n': 55},3.0,3.0,6,5,0.8333333333333334,1.9000000000000001,11.4,11.7894066061748,4.67741935483871,-3.1000000000000028,3.1666666666666665,6,73,0.08
cci,"{'period': 14, 'threshold': 80}",hma_turn,{'n': 9},3.0,3.0,4474,2324,0.5194456861868574,0.016535225748770647,73.97859999999987,-71.93108780434213,1.0111148683890085,-95.21616661929993,3.424899418864551,99,73,61.29
cci,"{'period': 14, 'threshold': 80}",hma_turn,{'n': 55},3.0,3.0,126,67,0.5317460317460317,0.09047619047619049,11.400000000000002,5.909021377033086,1.0623291416074356,-22.113022581242546,2.9682539682539684,71,73,1.73
cci,"{'period': 14, 'threshold': 80}",hma_turn,{'n': 34},3.0,3.0,271,131,0.4833948339483395,-0.20758265682656837,-56.25490000000003,-49.58596732753131,0.8703804147465436,-51.97103437721382,2.7785977859778597,89,73,3.71
cci,"{'period': 14, 'threshold': 100}",hma_turn,{'n': 15},3.0,3.0,985,505,0.5126903553299492,-0.023857868020304585,-23.500000000000018,-49.28023421341751,0.9842069892473112,-69.09514521967427,3.182741116751269,98,73,13.49
