ind_A,params_A,ind_B,params_B,tp_pct,sl_pct,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,n_months,monthly_freq
ibs,"{'threshold': 0.05, 'period': 2}",hma_turn,{'n': 55},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 2}",hma_turn,{'n': 34},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 2}",hma_turn,{'n': 15},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 2}",hma_turn,{'n': 9},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 2}",hma_turn,{'n': 21},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 3}",hma_turn,{'n': 21},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 3}",hma_turn,{'n': 9},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 3}",hma_turn,{'n': 15},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 3}",hma_turn,{'n': 34},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 3}",hma_turn,{'n': 55},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 1}",hma_turn,{'n': 9},3.0,3.0,233,120,0.5150214592274678,-0.009871244635193182,-2.3000000000000114,-12.010311903300874,0.9934341992577783,-51.19582358682948,3.982832618025751,85,73,3.19
ibs,"{'threshold': 0.05, 'period': 1}",hma_turn,{'n': 15},3.0,3.0,188,103,0.5478723404255319,0.1872340425531915,35.2,30.708746519474083,1.1335863377609094,-31.560629970900024,4.053191489361702,75,73,2.58
ibs,"{'threshold': 0.05, 'period': 1}",hma_turn,{'n': 21},3.0,3.0,166,99,0.5963855421686747,0.47831325301204813,79.39999999999999,105.50157932890771,1.382282137698603,-22.495062886724792,3.6566265060240966,81,73,2.27
ibs,"{'threshold': 0.1, 'period': 2}",hma_turn,{'n': 9},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.1, 'period': 2}",hma_turn,{'n': 15},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.1, 'period': 2}",hma_turn,{'n': 21},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.1, 'period': 2}",hma_turn,{'n': 34},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.1, 'period': 2}",hma_turn,{'n': 55},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.1, 'period': 3}",hma_turn,{'n': 9},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.1, 'period': 3}",hma_turn,{'n': 15},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.1, 'period': 3}",hma_turn,{'n': 21},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.1, 'period': 3}",hma_turn,{'n': 34},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 1}",hma_turn,{'n': 34},3.0,3.0,108,57,0.5277777777777778,0.06666666666666658,7.19999999999999,2.3738393519204815,1.0455407969639468,-30.961944953203957,4.37037037037037,63,73,1.48
ibs,"{'threshold': 0.1, 'period': 3}",hma_turn,{'n': 55},3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
ibs,"{'threshold': 0.05, 'period': 1}",hma_turn,{'n': 55},3.0,3.0,84,54,0.6428571428571429,0.7571428571428571,63.6,82.03024293602242,1.6838709677419363,-13.608866765210736,3.011904761904762,59,73,1.15
ibs,"{'threshold': 0.1, 'period': 1}",hma_turn,{'n': 21},3.0,3.0,267,152,0.5692883895131086,0.3157303370786516,84.29999999999998,106.23925192355807,1.2364656381486667,-31.728685917064013,3.449438202247191,91,73,3.66
ibs,"{'threshold': 0.1, 'period': 1}",hma_turn,{'n': 15},3.0,3.0,311,167,0.5369774919614148,0.12186495176848867,37.89999999999998,27.054918116059824,1.084901433691756,-40.99340690308282,3.517684887459807,95,73,4.26
ibs,"{'threshold': 0.1, 'period': 1}",hma_turn,{'n': 34},3.0,3.0,205,111,0.5414634146341464,0.14878048780487793,30.49999999999998,23.74898383262081,1.1046671242278638,-26.687142783123686,3.8780487804878048,87,73,2.81
