ind_A,params_A,ind_B,params_B,tp_pct,sl_pct,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,n_months,monthly_freq
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 10, 'threshold': 15.0}",3.0,3.0,1166,577,0.49485420240137223,-0.13087478559176674,-152.60000000000002,-87.16558964687773,0.9164247768223885,-92.17598274174448,3.1475128644939967,100,73,15.97
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 10, 'threshold': 20.0}",3.0,3.0,695,346,0.497841726618705,-0.11294964028776983,-78.50000000000003,-66.67901289494831,0.9274424623347806,-79.20056058514055,3.0892086330935253,100,73,9.52
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 10, 'threshold': 25.0}",3.0,3.0,362,197,0.5441988950276243,0.16519337016574576,59.79999999999996,54.61514838599717,1.1169110459433031,-38.21529120435545,3.088397790055249,94,73,4.96
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 10, 'threshold': 30.0}",3.0,3.0,168,91,0.5416666666666666,0.14999999999999997,25.199999999999996,19.324586012726797,1.1055718475073306,-31.162086274784606,2.9047619047619047,79,73,2.3
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 14, 'threshold': 30.0}",3.0,3.0,62,38,0.6129032258064516,0.5774193548387095,35.79999999999999,39.17296835185893,1.481182795698925,-9.803686675838907,2.774193548387097,47,73,0.85
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 14, 'threshold': 25.0}",3.0,3.0,168,89,0.5297619047619048,0.07857142857142854,13.199999999999996,5.814879294526754,1.0538995508370759,-38.95578627070356,2.9523809523809526,83,73,2.3
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 14, 'threshold': 20.0}",3.0,3.0,359,189,0.5264623955431755,0.05877437325905283,21.099999999999966,5.086742217304585,1.0400379506641355,-58.537414246806385,3.1086350974930363,97,73,4.92
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 14, 'threshold': 15.0}",3.0,3.0,738,374,0.5067750677506775,-0.059349593495935014,-43.80000000000004,-53.74006612672264,0.961183977313009,-78.92015315427045,3.138211382113821,98,73,10.11
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 20, 'threshold': 15.0}",3.0,3.0,410,208,0.5073170731707317,-0.05609756097560976,-23.0,-33.96093514110689,0.9632705206004464,-60.98976461549642,3.2170731707317075,97,73,5.62
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 20, 'threshold': 20.0}",3.0,3.0,174,101,0.5804597701149425,0.38275862068965516,66.6,80.13104798600705,1.2942996022978337,-24.8977159372363,2.793103448275862,80,73,2.38
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 20, 'threshold': 25.0}",3.0,3.0,78,48,0.6153846153846154,0.5923076923076922,46.19999999999999,53.33853162441986,1.4967741935483874,-16.771656375532718,2.6794871794871793,55,73,1.07
rsi,"{'period': 2, 'threshold': 20.0}",adx,"{'length': 20, 'threshold': 30.0}",3.0,3.0,29,20,0.6896551724137931,1.0379310344827581,30.099999999999987,33.42016970002577,2.0788530465949817,-15.062946927976517,2.1379310344827585,24,73,0.4
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 10, 'threshold': 15.0}",3.0,3.0,1395,692,0.4960573476702509,-0.12365591397849467,-172.50000000000006,-90.5146228794235,0.9208461432570083,-94.4566145225414,3.139784946236559,100,73,19.11
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 10, 'threshold': 30.0}",3.0,3.0,198,108,0.5454545454545454,0.17272727272727265,34.19999999999998,28.82507646499979,1.1225806451612892,-32.12394923027085,3.0505050505050506,87,73,2.71
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 10, 'threshold': 20.0}",3.0,3.0,834,420,0.5035971223021583,-0.07841726618705039,-65.40000000000002,-64.31373474659769,0.9490416082281432,-78.02560919229285,3.1270983213429258,100,73,11.42
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 10, 'threshold': 25.0}",3.0,3.0,424,234,0.5518867924528302,0.21132075471698109,89.59999999999998,102.63540747617145,1.1521222410865863,-42.822611289087206,3.1462264150943398,97,73,5.81
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 14, 'threshold': 15.0}",3.0,3.0,885,445,0.5028248587570622,-0.08305084745762717,-73.50000000000004,-67.8409158852595,0.9461143695014657,-84.70700227948164,3.134463276836158,98,73,12.12
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 14, 'threshold': 25.0}",3.0,3.0,193,105,0.5440414507772021,0.16424870466321237,31.69999999999999,25.923483842730665,1.116202346041055,-34.066203406043414,2.9689119170984455,85,73,2.64
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 14, 'threshold': 20.0}",3.0,3.0,428,224,0.5233644859813084,0.04018691588785031,17.199999999999932,-2.0296938608787785,1.0271979759645786,-60.77182883143792,3.0934579439252334,97,73,5.86
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 14, 'threshold': 30.0}",3.0,3.0,72,42,0.5833333333333334,0.39999999999999997,28.799999999999997,29.1692243084964,1.3096774193548393,-12.345662464372086,2.9583333333333335,51,73,0.99
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 20, 'threshold': 15.0}",3.0,3.0,484,253,0.5227272727272727,0.03636363636363632,17.59999999999998,-4.085931442637413,1.024577572964669,-52.527824802200065,3.3615702479338845,98,73,6.63
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 20, 'threshold': 25.0}",3.0,3.0,86,53,0.6162790697674418,0.5976744186046511,51.39999999999999,60.95315905771592,1.5024437927663736,-13.608866765210747,2.697674418604651,56,73,1.18
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 20, 'threshold': 20.0}",3.0,3.0,195,114,0.5846153846153846,0.4076923076923077,79.5,103.03862516782046,1.3166069295101546,-24.71284494746877,2.7846153846153845,84,73,2.67
rsi,"{'period': 2, 'threshold': 30.0}",adx,"{'length': 10, 'threshold': 25.0}",3.0,3.0,480,262,0.5458333333333333,0.17499999999999996,83.99999999999999,86.81493142275933,1.1242971293282031,-44.434024576372465,3.1354166666666665,99,73,6.58
rsi,"{'period': 2, 'threshold': 25.0}",adx,"{'length': 20, 'threshold': 30.0}",3.0,3.0,33,22,0.6666666666666666,0.8999999999999999,29.699999999999996,32.647720846028584,1.8709677419354835,-15.309179444832354,2.090909090909091,25,73,0.45
rsi,"{'period': 2, 'threshold': 30.0}",adx,"{'length': 10, 'threshold': 15.0}",3.0,3.0,1615,811,0.5021671826625387,-0.08699690402476784,-140.50000000000006,-88.16452530684454,0.9436286310383559,-93.87462984949696,3.1609907120743035,100,73,22.12
rsi,"{'period': 2, 'threshold': 30.0}",adx,"{'length': 10, 'threshold': 20.0}",3.0,3.0,950,483,0.508421052631579,-0.04947368421052635,-47.000000000000036,-59.27792560727404,0.9675347102300192,-74.63183635873641,3.166315789473684,100,73,13.01
rsi,"{'period': 2, 'threshold': 30.0}",adx,"{'length': 10, 'threshold': 30.0}",3.0,3.0,217,119,0.5483870967741935,0.19032258064516128,41.3,37.13861140351851,1.135944700460828,-26.194613961894763,2.9953917050691246,91,73,2.97
rsi,"{'period': 2, 'threshold': 30.0}",adx,"{'length': 14, 'threshold': 15.0}",3.0,3.0,1034,525,0.5077369439071566,-0.05357833655705997,-55.40000000000001,-63.95257315703974,0.9648900437290064,-86.9116790106979,3.12862669245648,98,73,14.16
rsi,"{'period': 2, 'threshold': 30.0}",adx,"{'length': 14, 'threshold': 20.0}",3.0,3.0,500,260,0.52,0.0199999999999999,9.99999999999995,-11.752191242982256,1.013440860215053,-67.35104290223491,3.08,98,73,6.85
rsi,"{'period': 2, 'threshold': 30.0}",adx,"{'length': 20, 'threshold': 15.0}",3.0,3.0,562,298,0.5302491103202847,0.08149466192170811,45.799999999999955,22.817094952613104,1.0559628543499506,-55.33561896732585,3.3096085409252667,98,73,7.7
rsi,"{'period': 2, 'threshold': 30.0}",adx,"{'length': 14, 'threshold': 25.0}",3.0,3.0,221,120,0.5429864253393665,0.15791855203619906,34.89999999999999,28.394509827530868,1.1114659853082072,-39.45823655994843,2.9547511312217196,88,73,3.03
