pair,label,params_A,params_B,n_combo,n_trades,win_rate,avg_return,cum_return,profit_factor,max_drawdown,tickers_hit,monthly_freq
rsi+cci,RSI+CCI,"{'period': 21, 'threshold': 25.0}","{'period': 10, 'threshold': 150}",400,32,0.78125,1.5875,63.927119809290176,3.3410138248847923,-6.3761047939000175,23,0.44
rsi+ibs,RSI+IBS,"{'period': 9, 'threshold': 20.0}","{'threshold': 0.3, 'period': 1}",375,54,0.7222222222222222,1.2333333333333332,90.13246184211165,2.4322580645161294,-10.58585212650226,38,0.74
rsi+hma_turn,RSI+Hull MA 변곡,"{'period': 5, 'threshold': 35.0}",{'n': 55},125,78,0.5769230769230769,0.3615384615384615,28.049093110007227,1.2756598240469212,-12.853145648732522,53,1.07
rsi+adx,RSI+ADX/DMI,"{'period': 2, 'threshold': 30.0}","{'length': 20, 'threshold': 30.0}",300,35,0.7142857142857143,1.1857142857142855,49.14961600061019,2.3387096774193545,-9.803686675838874,25,0.48
cci+ibs,CCI+IBS,"{'period': 30, 'threshold': 200}","{'threshold': 0.05, 'period': 1}",240,70,0.6428571428571429,0.7571428571428569,64.73515564882959,1.683870967741936,-12.85314564873249,48,0.96
cci+hma_turn,CCI+Hull MA 변곡,"{'period': 20, 'threshold': 200}",{'n': 9},80,67,0.5970149253731343,0.48208955223880584,34.077829512266966,1.3859020310633217,-15.309179444832354,43,0.92
cci+adx,CCI+ADX/DMI,"{'period': 14, 'threshold': 150}","{'length': 14, 'threshold': 30.0}",192,40,0.675,0.95,43.689230910068424,1.9429280397022333,-9.278445545289117,34,0.55
ibs+hma_turn,IBS+Hull MA 변곡,"{'threshold': 0.05, 'period': 1}",{'n': 55},75,84,0.6428571428571429,0.7571428571428571,82.03024293602242,1.6838709677419363,-13.608866765210736,59,1.15
ibs+adx,IBS+ADX/DMI,"{'threshold': 0.05, 'period': 1}","{'length': 10, 'threshold': 30.0}",180,37,0.6216216216216216,0.6297297297297295,24.18996315816575,1.5368663594470042,-11.835224047900006,29,0.51
hma_turn+adx,Hull MA 변곡+ADX/DMI,{'n': 15},"{'length': 20, 'threshold': 20.0}",60,169,0.5680473372781065,0.308284023668639,56.13911084916663,1.2302253645603176,-21.431693012685372,76,2.32
