indicator,tp_pct,sl_pct,k_period,d_period,div_window,min_gap,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
div_stoch,3.0,3.0,5,3,14,3,2041,1053,0.5159235668789809,-0.005872317491425795,-11.985400000000048,-64.5454593421378,0.9960808261349319,-78.81181116037844,3.2944634982851544,98,"{'tp': 1050, 'sl': 986, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,3,14,2,2521,1289,0.5113050376834589,-0.033314319714399056,-83.98540000000003,-86.11001081996059,0.97798284959056,-90.28159547491703,3.269337564458548,98,"{'tp': 1286, 'sl': 1230, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,3,10,3,1989,1026,0.5158371040723982,-0.006428054298642571,-12.785400000000074,-63.99504120352052,0.9957105250223562,-77.68504603796025,3.2267471091000504,98,"{'tp': 1023, 'sl': 961, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,3,10,2,2469,1262,0.5111381125961928,-0.03433997569866345,-84.78540000000005,-85.89437406799507,0.9773121781129442,-89.90330805353084,3.2142567841231267,98,"{'tp': 1259, 'sl': 1205, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,3,20,3,2056,1062,0.5165369649805448,-0.0021816147859922553,-4.485400000000077,-62.037666663309075,0.9985421603906333,-78.32358219354745,3.306420233463035,98,"{'tp': 1059, 'sl': 992, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,3,20,2,2536,1298,0.5118296529968455,-0.030159858044164038,-76.4854,-85.12753544365114,0.9800463040201063,-89.41604487934853,3.279179810725552,98,"{'tp': 1295, 'sl': 1236, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,3,30,2,2540,1300,0.5118110236220472,-0.030269842519685036,-76.88539999999999,-85.21364100196732,0.979974341974261,-89.4773217014518,3.2783464566929132,98,"{'tp': 1297, 'sl': 1238, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,3,30,3,2060,1064,0.516504854368932,-0.002371553398058272,-4.88540000000004,-62.25745322891545,0.9984153461082413,-78.32358219354745,3.3053398058252426,98,"{'tp': 1061, 'sl': 994, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,5,10,3,1783,925,0.5187885586090858,0.008611890072910775,15.354999999999912,-47.63760577928876,1.0057783092843897,-71.05355620591682,3.3039820527201345,98,"{'tp': 921, 'sl': 857, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,5,14,3,1830,951,0.519672131147541,0.014019125683060045,25.65499999999988,-43.164647495224415,1.0094234913331974,-70.96554553130537,3.351912568306011,98,"{'tp': 947, 'sl': 878, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,5,10,2,2325,1194,0.5135483870967742,-0.021868817204301075,-50.845,-78.85798181765166,0.985487998136344,-93.28074116944322,3.241720430107527,98,"{'tp': 1190, 'sl': 1130, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,5,14,2,2372,1220,0.5143338954468802,-0.01709317032040473,-40.545000000000016,-77.05196498480846,0.988638884571319,-93.58572168871812,3.2799325463743676,98,"{'tp': 1216, 'sl': 1151, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,5,20,2,2387,1228,0.514453288646837,-0.01635735232509428,-39.045000000000044,-76.86151386188412,0.989125323702307,-93.69648616113498,3.28780896522832,98,"{'tp': 1224, 'sl': 1158, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,5,20,3,1845,959,0.5197831978319783,0.014718157181571781,27.154999999999937,-42.69295757932633,1.0098955899559046,-71.46692477852,3.361517615176152,98,"{'tp': 955, 'sl': 885, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,5,30,2,2390,1229,0.5142259414225941,-0.01771757322175734,-42.34500000000004,-77.64380597086931,0.9882265497101091,-94.08124634234547,3.289539748953975,98,"{'tp': 1225, 'sl': 1160, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,3,10,3,1756,886,0.5045558086560364,-0.07286452164009115,-127.95010000000006,-87.39458814276533,0.9525204038720011,-95.01317490134727,3.3120728929384966,99,"{'tp': 885, 'sl': 869, 'end': 2}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,5,5,30,3,1848,960,0.5194805194805194,0.012908549783549737,23.854999999999915,-44.630458883749455,1.008673436200904,-73.20855515696387,3.3636363636363638,98,"{'tp': 956, 'sl': 887, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,3,10,2,2164,1094,0.5055452865064695,-0.06689006469500927,-144.75010000000006,-91.1343537035832,0.9563327552166178,-97.59318813785272,3.2809611829944547,99,"{'tp': 1093, 'sl': 1069, 'end': 2}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,3,14,2,2209,1115,0.504753282028067,-0.07163879583521958,-158.25010000000006,-92.41066156538984,0.9533081404970586,-97.92767742100014,3.3123585332729744,99,"{'tp': 1114, 'sl': 1093, 'end': 2}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,3,14,3,1802,908,0.5038845726970034,-0.0768868479467259,-138.55010000000007,-88.89634565095815,0.9499682566782934,-95.58170482124501,3.34850166481687,99,"{'tp': 907, 'sl': 893, 'end': 2}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,3,20,2,2220,1121,0.5049549549549549,-0.07042797297297299,-156.35010000000003,-92.30311400753823,0.9540787487716766,-97.88607201046993,3.3261261261261263,99,"{'tp': 1120, 'sl': 1098, 'end': 2}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,3,20,3,1813,914,0.5041367898510756,-0.07537236624379488,-136.65010000000012,-88.73899716547982,0.9509290243889205,-95.49300000925356,3.3651406508549364,99,"{'tp': 913, 'sl': 898, 'end': 2}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,3,30,3,1816,916,0.5044052863436124,-0.07376106828193837,-133.95010000000008,-88.44602045426527,0.9519520802438035,-95.3757417104913,3.3634361233480177,99,"{'tp': 915, 'sl': 899, 'end': 2}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,3,30,2,2223,1123,0.5051731893837157,-0.06911835357624833,-153.65010000000004,-92.10286467115124,0.9549128115874083,-97.8310740960552,3.324786324786325,99,"{'tp': 1122, 'sl': 1099, 'end': 2}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,5,10,2,1968,977,0.4964430894308943,-0.12232149390243904,-240.72870000000003,-96.291895654274,0.9215323239318833,-97.74857980354706,3.3846544715447155,99,"{'tp': 974, 'sl': 989, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,5,10,3,1536,768,0.5,-0.10125566406250003,-155.52870000000004,-89.42850669753282,0.934557517303607,-92.92326924467024,3.4713541666666665,99,"{'tp': 765, 'sl': 766, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,5,14,2,2012,997,0.4955268389662028,-0.12779756461232605,-257.12870000000004,-96.91517813047432,0.9181710590261325,-98.11610627968196,3.422962226640159,99,"{'tp': 994, 'sl': 1013, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,5,14,3,1580,788,0.49873417721518987,-0.10881563291139243,-171.92870000000005,-91.20543256271012,0.9298528187339957,-93.8494430890945,3.517721518987342,99,"{'tp': 785, 'sl': 790, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,5,20,3,1591,792,0.49780012570710247,-0.11441150219987432,-182.02870000000004,-92.09062035562536,0.9263837739183158,-94.1976145412493,3.534255185417976,99,"{'tp': 789, 'sl': 797, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,5,20,2,2023,1001,0.49480968858131485,-0.13209525457241725,-267.2287000000001,-97.22567056591166,0.9155400891961422,-98.1903373168084,3.4364804745427584,99,"{'tp': 998, 'sl': 1020, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,5,30,2,2026,1004,0.49555774925962487,-0.12760547877591316,-258.5287000000001,-96.97723660886321,0.9182897984301936,-98.02828674855786,3.441757156959526,99,"{'tp': 1001, 'sl': 1020, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,9,5,30,3,1594,795,0.4987452948557089,-0.1087382057716437,-173.32870000000005,-91.38235605986189,0.929902236484442,-93.67802607344662,3.5407779171894607,99,"{'tp': 792, 'sl': 797, 'end': 5}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,3,10,3,1608,819,0.5093283582089553,-0.04558843283582093,-73.30620000000006,-76.72211374497341,0.9700289464000976,-87.1903132536659,3.288557213930348,100,"{'tp': 818, 'sl': 789, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,3,10,2,1968,1012,0.5142276422764228,-0.01590762195121956,-31.306200000000096,-69.85733559372281,0.9894364286678358,-88.57595195649539,3.222560975609756,100,"{'tp': 1011, 'sl': 956, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,3,14,3,1650,842,0.5103030303030303,-0.03970072727272733,-65.50620000000009,-75.30273138838494,0.9738477323538799,-86.09279754752063,3.320606060606061,100,"{'tp': 841, 'sl': 808, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,3,20,3,1659,847,0.510548523206751,-0.03821952983725141,-63.406200000000084,-74.87992641618739,0.9748108215477508,-85.9682052637344,3.325497287522604,100,"{'tp': 846, 'sl': 812, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,3,14,2,2010,1035,0.5149253731343284,-0.011694626865671688,-23.506200000000092,-68.01936948416676,0.9922229280397017,-87.7733368065205,3.2502487562189053,100,"{'tp': 1034, 'sl': 975, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,3,20,2,2019,1040,0.5151064883605745,-0.010602377414561716,-21.406200000000105,-67.47187697360853,0.9929466539259939,-87.8793641281968,3.254581475978207,100,"{'tp': 1039, 'sl': 979, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,3,30,2,2021,1040,0.5145967342899554,-0.013659673428995586,-27.60620000000008,-69.45736107501652,0.9909222978527501,-88.6191956211758,3.2538347352795647,100,"{'tp': 1039, 'sl': 981, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,3,30,3,1661,847,0.5099337748344371,-0.04190620108368457,-69.60620000000007,-76.41323058766976,0.9724157089640952,-86.7884634149164,3.3245033112582782,100,"{'tp': 846, 'sl': 814, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,5,10,3,1393,752,0.5398420674802584,0.13725326633165827,191.19379999999995,262.40520714974315,1.0962175028936636,-78.11149486283715,3.3826274228284277,98,"{'tp': 751, 'sl': 641, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,5,10,2,1762,947,0.5374574347332577,0.12332224744608394,217.29379999999992,298.5930433052916,1.0860058579061935,-84.87159751193866,3.311577752553916,98,"{'tp': 946, 'sl': 815, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,5,14,2,1799,967,0.537520844913841,0.12373196220122287,222.59379999999996,313.3723461359467,1.0863034274193542,-85.50983086993283,3.3257365202890496,98,"{'tp': 966, 'sl': 832, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,5,14,3,1430,772,0.5398601398601398,0.1374082517482517,196.4937999999999,275.842712881046,1.0963299343072843,-78.36421236762791,3.3986013986013988,98,"{'tp': 771, 'sl': 658, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,5,20,3,1438,777,0.5403337969401947,0.14025994436717656,201.6937999999999,294.50665991243085,1.0984304328729682,-78.25301306012487,3.4082058414464536,98,"{'tp': 776, 'sl': 661, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,5,20,2,1807,972,0.5379081350304372,0.1260618705035971,227.79379999999995,333.899974604196,1.0880022406799297,-85.08961596516089,3.3337022689540676,98,"{'tp': 971, 'sl': 835, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,5,30,2,1808,973,0.5381637168141593,0.12759612831858402,230.6937999999999,346.48307386771717,1.0891225806451605,-84.65721482815057,3.336283185840708,98,"{'tp': 972, 'sl': 835, 'end': 1}",스토캐스틱 다이버전스
div_stoch,3.0,3.0,14,5,30,3,1439,778,0.5406532314107019,0.14217776233495477,204.59379999999993,305.9473530498922,1.0998456883509826,-78.25301306012486,3.41139680333565,98,"{'tp': 777, 'sl': 661, 'end': 1}",스토캐스틱 다이버전스
