indicator,tp_pct,sl_pct,threshold,period,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
ibs,3.0,3.0,0.2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.2,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.15,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.05,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.05,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.05,1,8474,4609,0.5438989851309889,0.16312751947132398,1382.3425999999995,2260517.338873402,1.1153730835037343,-77.80379588445452,3.228463535520415,100,"{'sl': 3865, 'tp': 4608, 'end': 1}",IBS
ibs,3.0,3.0,0.1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.15,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},IBS
ibs,3.0,3.0,0.1,1,12731,6811,0.5349933233838662,0.10958377189537345,1395.1109999999994,377842.5132645687,1.0760195619006099,-92.51006033012999,3.0557693818238945,102,"{'tp': 6809, 'sl': 5920, 'end': 2}",IBS
ibs,3.0,3.0,0.15,1,16663,8850,0.5311168457060553,0.08623806637460235,1436.984899999999,97814.28036621037,1.0593297729590463,-96.30257730132398,2.9798955770269457,102,"{'tp': 8846, 'sl': 7813, 'end': 4}",IBS
ibs,3.0,3.0,0.2,1,19962,10538,0.5279030157298867,0.06692610459873759,1335.9788999999996,7965.341666719175,1.0457301501999012,-98.08757523445408,2.9188458070333634,103,"{'tp': 10533, 'sl': 9424, 'end': 5}",IBS
ibs,3.0,3.0,0.3,1,24867,13012,0.5232637632203322,0.038777275103550855,964.2744999999991,-78.51014693561898,1.026240546975984,-99.8497754821551,2.8282060562190856,103,"{'tp': 13001, 'sl': 11854, 'end': 12}",IBS
