indicator,tp_pct,sl_pct,fast,slow,signal,require_zero,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
macd,3.0,3.0,8,17,9,True,2672,1271,0.47567365269461076,-0.24508383233532935,-654.864,-99.95726561230413,0.8489363440567125,-99.96878225919511,2.8824850299401197,98,"{'tp': 1269, 'sl': 1397, 'end': 6}",MACD
macd,3.0,3.0,12,26,9,False,5484,2783,0.5074762946754194,-0.056165955506929266,-308.0141000000001,-99.6123088533618,0.9632138515006384,-99.75357767160158,3.3677972283005104,99,"{'sl': 2701, 'tp': 2781, 'end': 2}",MACD
macd,3.0,3.0,8,17,9,False,6926,3453,0.498556165174704,-0.10734081721051117,-743.4425000000003,-99.99740469490061,0.9308515551562603,-99.99827772614405,3.2939647704302626,99,"{'sl': 3466, 'tp': 3451, 'end': 9}",MACD
macd,3.0,3.0,12,26,5,True,2694,1283,0.47624350408314775,-0.24341971046770605,-655.7727000000001,-99.95810523957593,0.8499638621614289,-99.97414453840618,2.828136599851522,99,"{'tp': 1281, 'sl': 1409, 'end': 4}",MACD
macd,3.0,3.0,8,17,5,True,3282,1590,0.4844606946983547,-0.1935031992687386,-635.0775000000001,-99.96041248986461,0.8787827709915648,-99.98526509051767,2.875990249847654,98,"{'tp': 1587, 'sl': 1688, 'end': 7}",MACD
macd,3.0,3.0,12,26,9,True,2064,1005,0.48691860465116277,-0.1798742248062016,-371.2604000000001,-99.04040471625373,0.8869108410247035,-99.41462078705302,2.856589147286822,98,"{'sl': 1059, 'tp': 1004, 'end': 1}",MACD
macd,3.0,3.0,8,17,5,False,8465,4323,0.5106910809214412,-0.03493948021264034,-295.76270000000045,-99.88513726508282,0.9769395766754331,-99.96895096421993,3.267808623744832,98,"{'sl': 4134, 'tp': 4320, 'end': 11}",MACD
macd,3.0,3.0,12,26,5,False,6886,3445,0.5002904443799012,-0.09738916642462975,-670.6218000000005,-99.99452397307391,0.9370628120403125,-99.99642721089054,3.290444379901249,100,"{'sl': 3435, 'tp': 3443, 'end': 8}",MACD
macd,3.0,3.0,10,30,9,True,2172,1058,0.4871086556169429,-0.17866500920810316,-388.0604000000001,-99.22747826888667,0.8876294666126133,-99.47165038457014,2.8093922651933703,98,"{'sl': 1114, 'tp': 1057, 'end': 1}",MACD
macd,3.0,3.0,10,30,5,True,2846,1357,0.4768095572733661,-0.23910456781447653,-680.4916000000002,-99.96947073527558,0.8524817365583076,-99.9786914953967,2.830639494026704,98,"{'tp': 1356, 'sl': 1487, 'end': 3}",MACD
macd,3.0,3.0,10,30,5,False,7147,3569,0.49937036518819083,-0.10320657618581228,-737.6174000000003,-99.99751168034524,0.9334401051823654,-99.99809966970588,3.2868336364908353,98,"{'sl': 3573, 'tp': 3567, 'end': 7}",MACD
macd,3.0,3.0,10,30,9,False,5699,2892,0.5074574486752061,-0.05530794876294089,-315.2000000000001,-99.6723267808173,0.963761878475689,-99.78039168551501,3.359010352693455,99,"{'sl': 2805, 'tp': 2889, 'end': 5}",MACD
macd,3.0,3.0,5,35,9,True,3099,1474,0.4756373023555986,-0.2449227170054857,-759.0155000000002,-99.98759507418352,0.8492106717328723,-99.99232200890681,2.9180380767989673,98,"{'tp': 1474, 'sl': 1623, 'end': 2}",MACD
macd,3.0,3.0,5,35,5,True,3831,1853,0.4836857217436701,-0.19627888279822503,-751.9444000000001,-99.99040869550988,0.8771806818498461,-99.99516081735239,2.8752283998955885,98,"{'sl': 1974, 'tp': 1851, 'end': 6}",MACD
macd,3.0,3.0,5,35,9,False,7248,3621,0.4995860927152318,-0.10072596578366448,-730.0618000000002,-99.99743421107382,0.9349791276175526,-99.99831622355478,3.30794701986755,98,"{'sl': 3620, 'tp': 3620, 'end': 8}",MACD
macd,3.0,3.0,5,35,5,False,8992,4555,0.5065613879003559,-0.05894536254448401,-530.0367000000002,-99.99130714507078,0.9613971886732594,-99.99520346799876,3.2506672597864767,98,"{'sl': 4426, 'tp': 4551, 'end': 15}",MACD
