ticker,latest_date,union_signals,latest_signal,RSI+CCI,RSI+IBS,RSI+ADX,last_close,fwd_ge_tp,fwd_le_sl
071050.KS,2026-08-26,3,2026-03-16,0,0,3,191200.0,False,True
042700.KS,2026-08-27,2,2026-05-21,0,0,2,222000.0,False,True
402340.KS,2026-08-26,2,2026-03-16,0,0,2,1058000.0,True,False
034730.KS,2026-08-26,1,2026-07-15,0,0,1,554000.0,False,True
032830.KS,2026-08-26,1,2026-07-03,0,0,1,309500.0,False,True
006980.KS,2026-08-26,1,2026-06-12,0,1,0,15300.0,False,True
047040.KS,2026-08-27,1,2026-06-12,0,0,1,20000.0,False,True
004020.KS,2026-08-27,1,2026-05-21,0,0,1,31450.0,False,True
006400.KS,2026-08-26,1,2026-05-21,0,0,1,516000.0,False,True
009830.KS,2026-08-26,1,2026-04-03,0,0,1,32900.0,False,True
047810.KS,2026-08-27,1,2026-04-01,0,0,1,137600.0,False,True
001040.KS,2026-08-27,1,2026-03-16,0,0,1,126600.0,False,True
017670.KS,2026-08-26,1,2026-03-16,0,0,1,98765.81,True,False
000270.KS,2026-08-26,1,2026-03-10,0,0,1,131400.0,False,True
000660.KS,2026-08-26,1,2026-03-10,0,0,1,1687634.12,True,False
000810.KS,2026-08-26,1,2026-03-10,0,0,1,680000.0,True,False
003490.KS,2026-08-26,1,2026-03-10,0,0,1,28150.0,True,False
003550.KS,2026-08-26,1,2026-03-10,0,0,1,114400.0,True,False
005930.KS,2026-08-26,1,2026-03-10,0,0,1,261500.0,True,False
039490.KS,2026-08-27,1,2026-03-05,0,0,1,279500.0,False,True
069500.KS,2026-08-27,1,2026-03-05,0,0,1,109135.0,True,False
247540.KS,2026-08-27,1,2026-03-05,0,0,1,118000.0,False,True
