ticker,A,B,C,total,latest_signal,source,last_close,fwd_ge_tp,fwd_le_sl
090430.KS,0,4,1,5,2026-08-03,B(스토캐스틱쌍바닥),143500.0,True,False
002790.KS,0,4,1,5,2026-07-27,B(스토캐스틱쌍바닥),26300.0,True,False
006400.KS,1,4,0,5,2026-05-26,B(스토캐스틱쌍바닥),516000.0,False,True
007070.KS,1,3,0,4,2026-06-29,B(스토캐스틱쌍바닥),25750.0,True,False
009540.KS,0,3,0,3,2026-08-03,B(스토캐스틱쌍바닥),360500.0,False,False
000070.KS,0,2,1,3,2026-07-27,B(스토캐스틱쌍바닥),59600.0,False,False
035420.KS,0,3,0,3,2026-07-20,B(스토캐스틱쌍바닥),220000.0,True,False
010140.KS,0,3,0,3,2026-07-13,B(스토캐스틱쌍바닥),21000.0,False,True
021050.KS,0,3,0,3,2026-06-29,B(스토캐스틱쌍바닥),1133.0,True,False
071050.KS,3,0,0,3,2026-03-16,A(OBV합집합),191200.0,False,True
002380.KS,0,1,1,2,2026-08-03,B(스토캐스틱쌍바닥),469500.0,True,False
103140.KS,0,1,1,2,2026-08-03,B(스토캐스틱쌍바닥),83000.0,True,False
034730.KS,1,1,0,2,2026-07-15,A(OBV합집합),554000.0,False,True
000720.KS,0,2,0,2,2026-07-13,B(스토캐스틱쌍바닥),129300.0,True,False
373220.KS,0,2,0,2,2026-07-13,B(스토캐스틱쌍바닥),351000.0,True,False
039490.KS,1,1,0,2,2026-06-29,B(스토캐스틱쌍바닥),279500.0,False,True
042700.KS,2,0,0,2,2026-05-21,A(OBV합집합),222000.0,False,True
402340.KS,2,0,0,2,2026-03-16,A(OBV합집합),1058000.0,True,False
003490.KS,1,1,0,2,2026-03-10,A(OBV합집합),28150.0,True,False
329180.KS,0,2,0,2,2026-02-23,B(스토캐스틱쌍바닥),464500.0,False,True
000150.KS,0,1,0,1,2026-08-03,B(스토캐스틱쌍바닥),1214000.0,False,False
010130.KS,0,1,0,1,2026-08-03,B(스토캐스틱쌍바닥),1372000.0,True,False
011210.KS,0,1,0,1,2026-08-03,B(스토캐스틱쌍바닥),60400.0,False,False
034020.KS,0,1,0,1,2026-08-03,B(스토캐스틱쌍바닥),85900.0,True,False
078000.KS,0,0,1,1,2026-08-03,C(3바닥다이버전스),13270.0,True,False
302440.KS,0,1,0,1,2026-08-03,B(스토캐스틱쌍바닥),38450.0,True,False
000100.KS,0,1,0,1,2026-07-20,B(스토캐스틱쌍바닥),86700.0,True,False
005490.KS,0,1,0,1,2026-07-13,B(스토캐스틱쌍바닥),328000.0,True,False
051910.KS,0,1,0,1,2026-07-13,B(스토캐스틱쌍바닥),263500.0,False,False
032830.KS,1,0,0,1,2026-07-03,A(OBV합집합),309500.0,False,True
011150.KS,0,1,0,1,2026-06-29,B(스토캐스틱쌍바닥),2015.0,False,False
069620.KS,0,1,0,1,2026-06-29,B(스토캐스틱쌍바닥),128000.0,True,False
105630.KS,0,1,0,1,2026-06-29,B(스토캐스틱쌍바닥),8870.0,True,False
006980.KS,1,0,0,1,2026-06-12,A(OBV합집합),15300.0,False,True
047040.KS,1,0,0,1,2026-06-12,A(OBV합집합),20000.0,False,True
035510.KS,0,0,1,1,2026-06-11,C(3바닥다이버전스),13360.0,False,True
180640.KS,0,0,1,1,2026-06-11,C(3바닥다이버전스),126600.0,True,False
030210.KS,0,0,1,1,2026-06-04,C(3바닥다이버전스),3930.0,True,False
105560.KS,0,0,1,1,2026-06-02,C(3바닥다이버전스),166600.0,True,False
035720.KS,0,0,1,1,2026-05-29,C(3바닥다이버전스),36350.0,False,True
004020.KS,1,0,0,1,2026-05-21,A(OBV합집합),31450.0,False,True
192080.KS,0,1,0,1,2026-04-13,B(스토캐스틱쌍바닥),57200.0,True,False
009830.KS,1,0,0,1,2026-04-03,A(OBV합집합),32900.0,False,True
012330.KS,0,0,1,1,2026-04-03,C(3바닥다이버전스),464000.0,True,False
047810.KS,1,0,0,1,2026-04-01,A(OBV합집합),137600.0,False,True
001040.KS,1,0,0,1,2026-03-16,A(OBV합집합),126600.0,False,True
017670.KS,1,0,0,1,2026-03-16,A(OBV합집합),98765.81,True,False
000270.KS,1,0,0,1,2026-03-10,A(OBV합집합),131400.0,False,True
000660.KS,1,0,0,1,2026-03-10,A(OBV합집합),1687634.12,True,False
000810.KS,1,0,0,1,2026-03-10,A(OBV합집합),680000.0,True,False
003550.KS,1,0,0,1,2026-03-10,A(OBV합집합),114400.0,True,False
005930.KS,1,0,0,1,2026-03-10,A(OBV합집합),261500.0,True,False
069500.KS,1,0,0,1,2026-03-05,A(OBV합집합),109135.0,True,False
247540.KS,1,0,0,1,2026-03-05,A(OBV합집합),118000.0,False,True
011070.KS,0,1,0,1,2026-02-19,B(스토캐스틱쌍바닥),597000.0,True,False
004990.KS,0,1,0,1,2026-01-12,B(스토캐스틱쌍바닥),23800.0,False,True
060980.KS,0,1,0,1,2026-01-12,B(스토캐스틱쌍바닥),39500.0,False,True
