indicator,tp_pct,sl_pct,k_period,d_period,oversold,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
stoch,3.0,3.0,5,3,20,3896,1940,0.49794661190965095,-0.11095274640657092,-432.2719000000003,-99.77160449090606,0.9286476561080061,-99.86066056688611,3.136806981519507,99,"{'tp': 1940, 'sl': 1954, 'end': 2}",스토캐스틱
stoch,3.0,3.0,9,3,20,4745,2362,0.49778714436248683,-0.1121805479452055,-532.2967000000001,-99.94270393703196,0.9278684195819901,-99.9601216156988,3.1827186512118018,99,"{'tp': 2360, 'sl': 2380, 'end': 5}",스토캐스틱
stoch,3.0,3.0,5,5,20,1998,1017,0.509009009009009,-0.04532337337337342,-90.5561000000001,-83.56268927887895,0.9701925382943295,-97.0591953236274,3.068068068068068,99,"{'tp': 1016, 'sl': 980, 'end': 2}",스토캐스틱
stoch,3.0,3.0,5,3,30,7033,3532,0.5022038959192379,-0.08522125693160817,-599.3611000000003,-99.98953505658783,0.9446936625924479,-99.99376690167604,3.1784444760415185,99,"{'tp': 3530, 'sl': 3495, 'end': 8}",스토캐스틱
stoch,3.0,3.0,5,5,30,4495,2272,0.5054505005561736,-0.06593345939933262,-296.3709000000001,-99.31943908082678,0.956943795414482,-99.73405581524679,3.185094549499444,99,"{'sl': 2220, 'tp': 2271, 'end': 4}",스토캐스틱
stoch,3.0,3.0,5,3,40,9809,4924,0.5019879702314202,-0.08623380568865331,-845.8674000000003,-99.99974554274388,0.9440527216039931,-99.99989169880674,3.1846263635436842,100,"{'tp': 4921, 'sl': 4876, 'end': 12}",스토캐스틱
stoch,3.0,3.0,9,5,20,3154,1571,0.4980976537729867,-0.11249597336715288,-354.81230000000016,-99.30728653266779,0.9276970431805672,-99.70101722169464,3.1496512365250475,98,"{'sl': 1583, 'tp': 1569, 'end': 2}",스토캐스틱
stoch,3.0,3.0,9,3,30,7265,3681,0.506675843083276,-0.058006813489332454,-421.41950000000026,-99.94396231388933,0.962007567176262,-99.96417418623813,3.198072952512044,99,"{'tp': 3678, 'sl': 3576, 'end': 11}",스토캐스틱
stoch,3.0,3.0,5,5,40,7152,3635,0.5082494407158836,-0.048129334451901595,-344.22100000000023,-99.87222771427072,0.9683652024671241,-99.97480912878694,3.226649888143177,100,"{'sl': 3508, 'tp': 3633, 'end': 11}",스토캐스틱
stoch,3.0,3.0,9,5,40,7224,3707,0.5131506090808416,-0.020131090808416425,-145.42700000000025,-99.09560192847138,0.9866463106318253,-99.75651494521524,3.2783776301218164,101,"{'sl': 3511, 'tp': 3703, 'end': 10}",스토캐스틱
stoch,3.0,3.0,14,3,20,4982,2548,0.5114411882778,-0.031755479727017276,-158.20580000000007,-97.82126223039612,0.9790275747851647,-98.66617451642554,3.196105981533521,98,"{'tp': 2546, 'sl': 2433, 'end': 3}",스토캐스틱
stoch,3.0,3.0,9,5,30,5444,2758,0.5066127847171198,-0.05987421013960327,-325.9552000000002,-99.66959124540195,0.9608171671515021,-99.84524633448599,3.2590007347538577,99,"{'sl': 2682, 'tp': 2754, 'end': 8}",스토캐스틱
stoch,3.0,3.0,9,3,40,9101,4592,0.5045599384683002,-0.0706618393583123,-643.0934000000002,-99.99732955112927,0.9539006480598852,-99.99890281620686,3.209097901329524,102,"{'tp': 4587, 'sl': 4497, 'end': 17}",스토캐스틱
stoch,3.0,3.0,14,3,40,8385,4299,0.5127012522361359,-0.023906785927251074,-200.45840000000027,-99.69115518456854,0.9841645916067632,-99.87433383101134,3.1726893261776983,100,"{'tp': 4294, 'sl': 4083, 'end': 8}",스토캐스틱
stoch,3.0,3.0,14,5,20,3596,1825,0.5075083426028921,-0.05559880422691884,-199.93330000000014,-97.32387174760225,0.963582940201453,-99.3311260364751,3.2021690767519466,98,"{'tp': 1824, 'sl': 1771, 'end': 1}",스토캐스틱
stoch,3.0,3.0,14,5,30,5497,2811,0.5113698380935056,-0.031886720029106835,-175.28130000000027,-98.54419047210264,0.9789448047579961,-99.62028554517698,3.252501364380571,98,"{'tp': 2810, 'sl': 2685, 'end': 2}",스토캐스틱
stoch,3.0,3.0,14,3,30,6977,3574,0.5122545506664755,-0.027040045864984978,-188.6584000000002,-99.34504392368532,0.9821084811269946,-99.7337206870601,3.1894797190769673,100,"{'tp': 3569, 'sl': 3401, 'end': 7}",스토캐스틱
stoch,3.0,3.0,14,5,40,6874,3525,0.5128018620890311,-0.02320114925807395,-159.48470000000032,-99.08141668546314,0.9846299646796427,-99.86738814643418,3.2423625254582484,98,"{'tp': 3522, 'sl': 3346, 'end': 6}",스토캐스틱
