ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
000660.KS,2023-01-06,2023-01-09,80805.125,83229.2787,2.9,1,tp
002380.KS,2023-07-14,2023-07-17,197399.6094,203321.5977,2.9,1,tp
002790.KS,2023-07-17,2023-07-24,27147.3125,25789.9469,-5.1,5,sl
004020.KS,2021-12-07,2021-12-17,37242.9688,38360.2578,2.9,8,tp
009160.KS,2023-02-20,2023-02-24,10466.6816,9943.3476,-5.1,4,sl
009540.KS,2022-04-14,2022-04-15,85936.6172,88514.7157,2.9,1,tp
016360.KS,2022-10-28,2022-11-08,25357.9062,26118.6434,2.9,7,tp
016360.KS,2023-01-09,2023-01-16,28237.0078,29084.118,2.9,5,tp
030210.KS,2023-01-09,2023-01-13,2610.9363,2689.2644,2.9,4,tp
035720.KS,2023-11-07,2023-11-09,43576.0625,44883.3444,2.9,2,tp
047040.KS,2023-01-10,2023-01-18,4750.0,4512.5,-5.1,6,sl
068270.KS,2022-04-27,2022-04-29,141554.5,145801.135,2.9,2,tp
180640.KS,2021-12-03,2021-12-06,57343.4141,59063.7165,2.9,1,tp
