ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
035420.KS,2021-01-08,2021-01-11,303639.3438,309712.1306,1.9,1,tp
047810.KS,2021-06-22,2021-06-25,33446.5664,31774.2381,-5.1,3,sl
009150.KS,2021-12-03,2021-12-06,168446.6719,171815.6053,1.9,1,tp
005930.KS,2021-12-06,2021-12-08,69356.4375,70743.5663,1.9,2,tp
010130.KS,2022-01-07,2022-01-12,457796.6562,466952.5894,1.9,3,tp
021050.KS,2022-03-03,2022-03-07,2145.0,2187.9,1.9,2,tp
030210.KS,2022-04-04,2022-04-08,4338.542,4121.6149,-5.1,4,sl
010140.KS,2022-06-24,2022-06-27,5810.0,5926.2,1.9,1,tp
373220.KS,2023-02-14,2023-02-15,525000.0,535500.0,1.9,1,tp
018260.KS,2023-07-17,2023-07-24,126124.7422,119818.5051,-5.1,5,sl
035420.KS,2023-07-31,2023-08-01,222724.2812,227178.7669,1.9,1,tp
005830.KS,2023-08-17,2023-08-18,67873.4141,69230.8823,1.9,1,tp
005930.KS,2023-09-25,2023-10-18,65631.9609,66944.6002,1.9,12,tp
091810.KS,2023-12-01,2023-12-07,2300.0,2346.0,1.9,4,tp
055550.KS,2024-05-16,2024-05-20,44313.5547,45199.8258,1.9,2,tp
