ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
009830.KS,2020-08-27,2020-08-28,37584.7227,39463.9588,4.9,1,tp
011150.KS,2020-08-27,2020-08-28,4890.0,5134.5,4.9,1,tp
241560.KS,2020-10-21,2020-10-26,26333.1387,27649.7956,4.9,3,tp
011200.KS,2020-10-28,2020-10-30,7910.3003,7514.7853,-5.1,2,sl
006280.KS,2020-11-03,2020-11-04,357032.0,374883.6,4.9,1,tp
091810.KS,2020-11-11,2020-11-12,2661.9902,2528.8907,-5.1,1,sl
030210.KS,2020-11-16,2020-11-17,2205.8376,2316.1295,4.9,1,tp
004020.KS,2020-12-09,2020-12-10,34673.1406,36406.7977,4.9,1,tp
006280.KS,2020-12-16,2020-12-18,377339.4062,358472.4359,-5.1,2,sl
006280.KS,2021-01-04,2021-01-05,450560.5,428032.475,-5.1,1,sl
047040.KS,2021-01-05,2021-01-06,5790.0,6079.5,4.9,1,tp
018260.KS,2021-01-08,2021-01-11,199114.0469,189158.3445,-5.1,1,sl
000070.KS,2021-01-26,2021-01-27,82404.8672,86525.1105,4.9,1,tp
000720.KS,2021-02-03,2021-02-05,41781.6602,39692.5771,-5.1,2,sl
298040.KS,2021-02-03,2021-02-04,72398.2969,76018.2117,4.9,1,tp
086790.KS,2021-02-05,2021-02-17,25626.3848,26907.704,4.9,6,tp
096770.KS,2021-04-01,2021-04-06,224659.5156,213426.5398,-5.1,3,sl
035720.KS,2021-04-08,2021-04-15,108992.9375,114442.5844,4.9,5,tp
006280.KS,2021-04-15,2021-04-16,375625.125,356843.8687,-5.1,1,sl
011810.KS,2021-04-28,2021-04-29,8814.1416,9254.8487,4.9,1,tp
034020.KS,2021-06-02,2021-06-04,21162.3047,22220.4199,4.9,2,tp
030210.KS,2021-06-04,2021-06-07,5349.1792,5616.6382,4.9,1,tp
030210.KS,2021-06-15,2021-06-17,6590.252,6260.7394,-5.1,2,sl
035510.KS,2021-06-16,2021-06-17,18462.457,17539.3342,-5.1,1,sl
009160.KS,2021-07-21,2021-07-23,11953.2383,12550.9002,4.9,2,tp
302440.KS,2021-08-10,2021-08-11,301500.0,286425.0,-5.1,1,sl
298040.KS,2021-08-27,2021-08-30,73850.1406,77542.6477,4.9,1,tp
247540.KS,2021-09-14,2021-09-16,107164.5234,112522.7496,4.9,2,tp
028050.KS,2021-09-23,2021-09-24,26017.5312,24716.6547,-5.1,1,sl
009160.KS,2021-09-29,2021-10-01,16194.1582,15384.4503,-5.1,2,sl
051600.KS,2021-10-15,2021-10-22,33442.4102,35114.5307,4.9,5,tp
042660.KS,2021-10-27,2021-11-04,22118.748,21012.8106,-5.1,6,sl
009160.KS,2021-12-03,2021-12-09,11645.4307,12227.7022,4.9,4,tp
105630.KS,2021-12-09,2021-12-13,19290.1777,18325.6688,-5.1,2,sl
042660.KS,2022-06-21,2022-06-23,19815.6172,18824.8363,-5.1,2,sl
329180.KS,2022-06-21,2022-06-23,137316.8281,130450.9867,-5.1,2,sl
004310.KS,2022-07-01,2022-07-04,5613.105,5332.4497,-5.1,1,sl
010130.KS,2022-08-31,2022-09-02,598520.1875,568594.1781,-5.1,2,sl
000150.KS,2022-10-06,2022-10-07,79491.2109,83465.7715,4.9,1,tp
002790.KS,2022-11-08,2022-11-11,26467.3145,27790.6802,4.9,3,tp
090430.KS,2022-11-08,2022-11-11,108616.9297,114047.7762,4.9,3,tp
005490.KS,2022-11-09,2022-11-14,255703.9375,268489.1344,4.9,3,tp
039490.KS,2022-11-09,2022-11-11,73093.1719,76747.8305,4.9,2,tp
015760.KS,2022-11-11,2022-11-18,18203.8438,19114.0359,4.9,5,tp
091810.KS,2022-12-22,2022-12-23,2285.0,2399.25,4.9,1,tp
000720.KS,2023-01-10,2023-01-18,36819.9492,34978.9518,-5.1,6,sl
047040.KS,2023-01-10,2023-01-18,4750.0,4512.5,-5.1,6,sl
011810.KS,2023-03-23,2023-03-27,6971.6558,7320.2385,4.9,2,tp
042660.KS,2023-05-24,2023-05-25,26898.8301,25553.8886,-5.1,1,sl
035420.KS,2023-07-31,2023-08-01,222724.2812,233860.4953,4.9,1,tp
002790.KS,2023-08-01,2023-08-02,27051.0449,28403.5972,4.9,1,tp
011810.KS,2023-08-08,2023-08-09,22100.8008,20995.7607,-5.1,1,sl
011810.KS,2023-11-20,2023-11-23,15470.0,14696.5,-5.1,3,sl
091810.KS,2024-01-04,2024-01-09,2750.0,2887.5,4.9,3,tp
298040.KS,2024-01-23,2024-01-30,182533.6562,173406.9734,-5.1,5,sl
035510.KS,2024-01-30,2024-02-26,12887.1055,12242.7502,-5.1,17,sl
002380.KS,2024-02-05,2024-02-08,248120.3594,260526.3773,4.9,3,tp
402340.KS,2024-02-06,2024-02-07,62318.7227,65434.6588,4.9,1,tp
001040.KS,2024-02-07,2024-02-13,101863.6484,96770.466,-5.1,2,sl
078930.KS,2024-02-07,2024-02-14,46721.875,44385.7812,-5.1,3,sl
012450.KS,2024-02-19,2024-02-20,165580.8594,173859.9023,4.9,1,tp
298040.KS,2024-02-20,2024-02-26,182926.8281,192073.1695,4.9,4,tp
042700.KS,2024-03-06,2024-03-07,100286.9844,105301.3336,4.9,1,tp
042660.KS,2024-03-14,2024-03-15,27000.0,28350.0,4.9,1,tp
