ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
011150.KS,2021-07-27,2021-08-03,4800.0,4560.0,-5.1,5,sl
180640.KS,2021-08-10,2021-08-17,65802.3047,62512.1895,-5.1,4,sl
009540.KS,2021-08-23,2021-08-25,107887.8203,112203.3331,3.9,2,tp
017900.KS,2021-08-23,2021-08-24,2243.8433,2333.597,3.9,1,tp
028260.KS,2021-08-23,2021-08-25,115587.0938,120210.5775,3.9,2,tp
004990.KS,2021-08-24,2021-09-29,27841.2852,26449.2209,-5.1,23,sl
180640.KS,2021-08-24,2021-09-09,65015.4297,61764.6582,-5.1,12,sl
006280.KS,2021-08-27,2021-08-30,331991.9375,345271.615,3.9,1,tp
068270.KS,2021-08-27,2021-09-06,238161.6406,226253.5586,-5.1,6,sl
090430.KS,2021-08-31,2021-09-08,219403.125,208432.9688,-5.1,6,sl
000100.KS,2021-09-01,2021-09-28,54672.6289,51938.9975,-5.1,16,sl
015760.KS,2021-09-13,2021-09-23,22850.6113,23764.6358,3.9,5,tp
028260.KS,2021-09-13,2021-09-29,116035.1016,110233.3465,-5.1,9,sl
042660.KS,2021-09-14,2021-09-23,25682.082,24397.9779,-5.1,4,sl
071050.KS,2021-09-17,2021-09-29,71173.1016,67614.4465,-5.1,5,sl
069620.KS,2021-09-30,2021-10-05,143156.4844,135998.6602,-5.1,2,sl
011210.KS,2021-10-07,2021-10-08,76668.2656,79734.9962,3.9,1,tp
028100.KS,2021-10-08,2021-11-03,16151.3301,15343.7636,-5.1,17,sl
207940.KS,2021-10-08,2021-10-15,1262750.75,1313260.78,3.9,4,tp
011070.KS,2021-10-27,2021-11-02,195275.875,203086.91,3.9,4,tp
207940.KS,2021-11-15,2021-11-29,1314477.875,1367056.99,3.9,10,tp
035420.KS,2021-12-01,2021-12-21,379549.2188,360571.7578,-5.1,14,sl
035510.KS,2021-12-03,2021-12-08,15749.9629,16379.9614,3.9,3,tp
060980.KS,2021-12-03,2021-12-10,33947.5352,35305.4366,3.9,5,tp
006400.KS,2021-12-08,2021-12-15,703449.8125,668277.3219,-5.1,5,sl
000100.KS,2021-12-09,2021-12-27,53582.5234,55725.8244,3.9,12,tp
001450.KS,2021-12-13,2021-12-29,20104.1777,20908.3448,3.9,12,tp
035510.KS,2021-12-20,2021-12-30,17149.9609,17835.9594,3.9,8,tp
