ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
071050.KS,2020-11-10,2020-12-04,54878.9766,60734.0743,10.5691,18,tp
018880.KS,2020-11-11,2020-11-19,12259.7861,13647.2354,11.2171,6,tp
091810.KS,2020-11-11,2020-11-16,2661.9902,3127.3187,17.3805,3,tp
298040.KS,2020-11-18,2021-01-08,60009.2852,69515.3899,15.7411,34,tp
011150.KS,2020-11-24,2021-01-29,5180.0,4634.1957,-10.6368,45,sl
103140.KS,2020-11-24,2021-01-05,22735.0605,25009.1835,9.9027,27,tp
017900.KS,2020-11-26,2021-01-21,2057.5955,2332.9709,13.2834,37,tp
004310.KS,2020-12-22,2020-12-23,8512.3994,7817.3893,-8.2647,1,sl
078930.KS,2020-12-29,2021-01-06,28305.3574,30342.5854,7.0973,4,tp
055550.KS,2020-12-30,2021-01-08,24783.6387,26296.0035,6.0023,5,tp
009830.KS,2021-01-05,2021-01-11,56508.1289,63523.4905,12.3148,4,tp
069960.KS,2021-01-07,2021-01-11,66782.9766,71027.0115,6.255,2,tp
086790.KS,2021-01-07,2021-01-13,26087.1602,28269.459,8.2654,4,tp
091810.KS,2021-01-14,2021-01-19,2700.7947,2458.8952,-9.0566,3,sl
207940.KS,2021-01-27,2021-01-29,1291657.125,1213176.7472,-6.1759,2,sl
010130.KS,2021-02-17,2021-03-09,361726.4375,342404.5769,-5.4416,13,sl
017670.KS,2021-02-18,2021-03-26,42313.9727,45765.7708,8.0576,25,tp
068270.KS,2021-02-19,2021-02-24,257570.375,231553.7514,-10.2008,3,sl
005490.KS,2021-02-24,2021-03-04,225353.3906,245974.3886,9.0505,5,tp
004310.KS,2021-02-26,2021-04-30,7567.6602,6683.4041,-11.7847,44,sl
004020.KS,2021-03-04,2021-03-29,37770.6172,42198.2216,11.6224,17,tp
069500.KS,2021-03-04,2021-10-05,37612.1133,35795.0781,-4.931,146,sl
002380.KS,2021-03-05,2021-03-25,172583.1719,188908.2396,9.3592,14,tp
035510.KS,2021-03-16,2021-04-01,12687.4717,14137.7779,11.331,12,tp
047040.KS,2021-03-17,2021-04-20,6290.0,7249.9606,15.1617,24,tp
000270.KS,2021-03-18,2021-03-25,68434.125,62792.8572,-8.3434,5,sl
000720.KS,2021-03-19,2021-04-08,39312.9531,42917.0289,9.0677,14,tp
003490.KS,2021-03-22,2021-03-24,24877.873,23338.1709,-6.289,2,sl
241560.KS,2021-03-23,2021-03-29,30155.0137,33829.179,12.0843,4,tp
035720.KS,2021-03-25,2021-04-06,96462.7188,105334.8777,9.0975,8,tp
097950.KS,2021-03-26,2021-05-11,374245.6562,406236.3859,8.4481,31,tp
298040.KS,2021-03-26,2021-05-04,74430.875,67307.1483,-9.6709,27,sl
012450.KS,2021-03-29,2021-05-04,42670.1016,38814.8089,-9.1351,26,sl
002790.KS,2021-03-30,2021-04-28,63316.5273,68458.8846,8.0217,21,tp
011070.KS,2021-03-30,2021-05-13,194801.9219,178845.7508,-8.291,31,sl
066570.KS,2021-04-01,2021-05-13,151317.0469,137773.9976,-9.0501,29,sl
161390.KS,2021-04-05,2021-04-26,39629.9688,44549.2687,12.3131,15,tp
069960.KS,2021-04-08,2021-05-10,80193.2109,85669.4649,6.7288,21,tp
034020.KS,2021-05-25,2021-05-27,14108.2031,15975.8308,13.1379,2,tp
192080.KS,2021-05-28,2021-06-23,51400.7852,48192.3047,-6.3421,18,sl
071050.KS,2021-06-07,2021-06-21,86115.5078,79969.4956,-7.2369,10,sl
034730.KS,2021-06-14,2021-06-28,243217.9375,242371.9844,-0.4478,10,end
035510.KS,2021-06-14,2021-07-07,17368.709,16047.5907,-7.7063,17,sl
042700.KS,2021-06-23,2021-07-02,15387.6494,17181.7034,11.5591,7,tp
004020.KS,2021-06-24,2021-07-09,48455.4375,45071.8635,-7.0829,11,sl
207940.KS,2021-06-24,2021-07-19,1300785.375,1402506.4994,7.72,17,tp
002380.KS,2021-06-25,2021-07-09,285921.375,266433.275,-6.9159,10,sl
071050.KS,2021-06-25,2021-07-01,84542.6328,79074.9125,-6.5674,4,sl
302440.KS,2021-06-29,2021-07-30,158000.0,175619.645,11.0517,23,tp
011810.KS,2021-07-09,2021-08-02,10490.0615,8997.2639,-14.3306,16,sl
000810.KS,2021-07-13,2021-09-14,167742.4219,179484.8136,6.9003,44,tp
002380.KS,2021-07-15,2021-07-29,273858.2812,300911.5978,9.7786,10,tp
241560.KS,2021-07-15,2021-07-20,40906.6602,38040.6952,-7.1061,3,sl
051600.KS,2021-07-16,2021-08-11,34609.4727,33039.9648,-4.6349,18,end
