long_window,short_window,n_signals,n_trades,n_win,n_loss,win_rate,profit_factor,avg_return,cum_return,monthly_frequency,meets_min_trades
200,40,23,20,12,8,0.6,2.1322,3.9162,92.5337,0.274,True
100,60,132,122,70,52,0.5738,1.9039,3.0665,2091.9137,1.6712,True
120,60,77,73,42,31,0.5753,1.8454,2.8632,456.9145,1.0,True
200,3,80,54,28,26,0.5185,1.6388,3.1498,218.3708,0.7397,True
60,20,383,346,179,167,0.5173,1.6178,2.2685,42872.3535,4.7397,True
60,5,559,461,233,228,0.5054,1.491,1.9679,60549.8104,6.3151,True
40,20,526,479,230,249,0.4802,1.4628,1.8001,45423.8677,6.5616,True
240,3,29,23,11,12,0.4783,1.4593,2.257,37.8137,0.3151,True
100,40,146,137,71,66,0.5182,1.4261,1.6205,390.0169,1.8767,True
60,40,269,250,123,127,0.492,1.4169,1.7186,1824.6125,3.4247,True
60,10,464,411,205,206,0.4988,1.4154,1.656,10063.8144,5.6301,True
100,10,195,175,89,86,0.5086,1.3877,1.5553,530.1595,2.3973,True
60,3,912,603,288,315,0.4776,1.3687,1.5455,32509.7358,8.2603,True
120,10,130,117,59,58,0.5043,1.3598,1.4506,199.0647,1.6027,True
120,40,94,83,40,43,0.4819,1.331,1.2792,99.471,1.137,True
120,20,96,91,45,46,0.4945,1.3012,1.2076,91.7194,1.2466,True
100,5,218,191,96,95,0.5026,1.2867,1.2096,276.9293,2.6164,True
120,5,163,131,65,66,0.4962,1.2451,1.0993,94.7776,1.7945,True
10,3,4097,2855,1304,1551,0.4567,1.2339,0.9191,56096291.9744,39.1096,True
40,10,800,707,316,391,0.447,1.2334,0.9489,2876.5824,9.6849,True
20,10,1057,951,440,511,0.4627,1.228,0.9489,7292.5737,13.0274,True
5,3,2638,2028,910,1118,0.4487,1.2156,0.8752,372470.4022,27.7808,True
20,5,1842,1545,701,844,0.4537,1.2024,0.8,26820.1631,21.1644,True
20,3,3083,2070,922,1148,0.4454,1.181,0.7222,28645.0598,28.3562,True
10,5,1538,1341,596,745,0.4444,1.1735,0.7151,2268.2621,18.3699,True
40,3,1495,1046,457,589,0.4369,1.1572,0.6783,465.9951,14.3288,True
40,5,919,793,342,451,0.4313,1.1423,0.6097,155.9195,10.863,True
200,20,29,26,12,14,0.4615,1.1333,0.6838,0.5481,0.3562,True
100,20,165,152,69,83,0.4539,1.1128,0.4818,5.3609,2.0822,True
120,3,241,169,73,96,0.432,1.072,0.3608,-38.9313,2.3151,True
200,5,44,35,14,21,0.4,1.0711,0.4121,-14.3199,0.4795,True
200,10,38,34,15,19,0.4412,1.0388,0.2211,-17.2146,0.4658,True
100,3,350,242,109,133,0.4504,0.9689,-0.1627,-85.9566,3.3151,True
120,100,30,29,10,19,0.3448,0.7421,-1.3998,-42.7236,0.3973,True
240,5,17,16,9,7,0.5625,1.9217,3.5497,57.5855,0.2192,False
200,100,14,14,7,7,0.5,1.7261,2.7219,35.4013,0.1918,False
200,60,16,15,8,7,0.5333,1.4036,1.6425,18.2483,0.2055,False
240,10,20,17,7,10,0.4118,1.0057,0.0315,-10.6178,0.2329,False
240,40,8,8,3,5,0.375,0.8751,-0.5999,-7.8438,0.1096,False
240,60,5,5,2,3,0.4,0.8688,-0.653,-5.3969,0.0685,False
200,120,18,17,6,11,0.3529,0.6624,-2.0996,-36.5854,0.2329,False
240,20,14,13,4,9,0.3077,0.6333,-2.1731,-29.9752,0.1781,False
240,100,8,6,2,4,0.3333,0.6061,-2.6804,-18.0736,0.0822,False
240,120,5,5,1,4,0.2,0.2574,-5.9065,-27.5825,0.0685,False
240,200,3,3,0,3,0.0,0.0,-9.9067,-26.9399,0.0411,False
