ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
000990.KS,2020-08-19,2020-08-24,35125.6367,31940.6697,-9.1674,3,sl
011150.KS,2020-08-19,2020-08-20,3925.0,4042.75,2.9,1,tp
035420.KS,2020-08-19,2020-08-20,306120.4062,294458.6287,-3.9095,1,sl
003550.KS,2020-08-21,2020-08-25,75658.0781,77927.8205,2.9,2,tp
012450.KS,2020-08-21,2020-08-26,26285.4082,27073.9704,2.9,3,tp
021050.KS,2020-08-21,2020-08-24,3482.3623,3586.8332,2.9,1,tp
035720.KS,2020-08-21,2020-08-24,73560.5234,75767.3391,2.9,1,tp
039490.KS,2020-08-21,2020-08-24,84670.6562,81861.6753,-3.4175,1,sl
051910.KS,2020-08-21,2020-08-26,655089.6875,674742.3781,2.9,3,tp
071050.KS,2020-08-21,2020-08-24,43827.4844,43297.6184,-1.309,1,sl
247540.KS,2020-08-21,2020-08-27,37924.3672,39062.0982,2.9,4,tp
003090.KS,2020-08-24,2020-08-25,33818.3008,34832.8498,2.9,1,tp
004020.KS,2020-08-24,2020-08-25,23129.8906,23823.7873,2.9,1,tp
005490.KS,2020-08-24,2020-08-26,159731.5,155718.1457,-2.6126,2,sl
006280.KS,2020-08-24,2020-08-27,263523.625,257384.1762,-2.4298,3,sl
011210.KS,2020-08-24,2020-08-25,36629.7539,37728.6465,2.9,1,tp
024110.KS,2020-08-24,2020-08-31,5498.3745,5445.2497,-1.0662,5,sl
035420.KS,2020-08-24,2020-08-26,310979.4375,320308.8206,2.9,2,tp
069620.KS,2020-08-24,2020-08-27,118098.7266,113688.4013,-3.8344,3,sl
000100.KS,2020-08-25,2020-09-01,53703.9141,52273.9376,-2.7627,5,sl
001040.KS,2020-08-25,2020-08-28,73250.7812,70653.2358,-3.6461,3,sl
001450.KS,2020-08-25,2020-08-31,18065.3594,17513.1426,-3.1568,4,sl
004310.KS,2020-08-25,2020-08-28,6104.9966,6288.1465,2.9,3,tp
004990.KS,2020-08-25,2020-09-01,23351.082,22742.5822,-2.7059,5,sl
005830.KS,2020-08-25,2020-08-28,32313.0527,31358.51,-3.054,3,sl
161390.KS,2020-08-25,2020-08-26,25958.4492,26737.2027,2.9,1,tp
241560.KS,2020-08-25,2020-08-27,23351.2383,22385.2669,-4.2367,2,sl
003550.KS,2020-08-26,2020-08-28,77686.2031,74688.0925,-3.9593,2,sl
036570.KS,2020-08-27,2020-09-01,811771.625,772264.7788,-4.9667,3,sl
051910.KS,2020-08-27,2020-09-01,714132.125,685079.4938,-4.1682,3,sl
068270.KS,2020-08-27,2020-08-28,241420.1875,241023.7691,-0.2642,1,sl
097950.KS,2020-08-27,2020-08-31,370775.5938,361905.398,-2.4923,2,sl
005380.KS,2020-08-28,2020-08-31,135894.8438,139971.6891,2.9,1,tp
000150.KS,2020-08-31,2020-09-04,41924.2422,40254.4975,-4.0828,4,sl
003090.KS,2020-08-31,2020-09-01,34741.5039,35783.749,2.9,1,tp
006400.KS,2020-08-31,2020-09-01,447541.7812,443091.0895,-1.0945,1,sl
078000.KS,2020-08-31,2020-09-03,8976.9062,8797.3679,-2.1,3,sl
247540.KS,2020-08-31,2020-09-04,37924.3672,36994.6098,-2.5516,4,sl
000270.KS,2020-09-01,2020-09-02,33134.6797,32328.3838,-2.5334,1,sl
000810.KS,2020-09-01,2020-09-04,140368.4688,136326.4448,-2.9796,3,sl
000990.KS,2020-09-01,2020-09-02,31713.1758,32664.5711,2.9,1,tp
003550.KS,2020-09-01,2020-09-04,72924.5,72395.4206,-0.8255,3,sl
006980.KS,2020-09-01,2020-09-04,28228.1641,27920.3803,-1.1903,3,sl
007070.KS,2020-09-01,2020-09-03,35957.3633,34942.2251,-2.9232,2,sl
011200.KS,2020-09-01,2020-09-02,4913.5942,5061.0021,2.9,1,tp
011210.KS,2020-09-01,2020-09-04,39187.4414,37954.2702,-3.2469,3,sl
011810.KS,2020-09-01,2020-09-02,6616.4824,6814.9769,2.9,1,tp
012330.KS,2020-09-01,2020-09-04,213625.5312,201533.52,-5.7604,3,sl
012450.KS,2020-09-01,2020-09-03,27308.1816,28127.4271,2.9,2,tp
015760.KS,2020-09-01,2020-09-04,19490.0723,18803.8021,-3.6211,3,sl
016360.KS,2020-09-01,2020-09-02,21495.793,22140.6668,2.9,1,tp
017900.KS,2020-09-01,2020-09-03,1889.0854,1945.758,2.9,2,tp
018880.KS,2020-09-01,2020-09-03,11878.2891,11515.5932,-3.1534,2,sl
032640.KS,2020-09-01,2020-09-03,8788.7334,8679.3301,-1.3448,2,sl
032830.KS,2020-09-01,2020-09-11,51123.7227,48863.678,-4.5207,8,sl
039490.KS,2020-09-01,2020-09-02,89887.3359,92583.956,2.9,1,tp
051900.KS,2020-09-01,2020-09-04,1430717.0,1399511.3009,-2.2811,3,sl
066570.KS,2020-09-01,2020-09-04,82657.8438,79830.3234,-3.5208,3,sl
069620.KS,2020-09-01,2020-09-03,113198.3672,116594.3182,2.9,2,tp
071050.KS,2020-09-01,2020-09-02,47687.9414,49118.5796,2.9,1,tp
099750.KS,2020-09-01,2020-09-02,9405.2236,9687.3803,2.9,1,tp
298040.KS,2020-09-01,2020-09-03,46991.1445,48400.8789,2.9,2,tp
000660.KS,2020-09-02,2020-09-03,70847.7891,72973.2227,2.9,1,tp
005940.KS,2020-09-02,2020-09-18,6404.0864,6309.2112,-1.5815,12,sl
011070.KS,2020-09-02,2020-09-17,159580.7969,156747.9943,-1.8752,11,sl
036570.KS,2020-09-02,2020-09-04,799543.3125,770383.5591,-3.7471,2,sl
161390.KS,2020-09-02,2020-09-04,25423.6484,23983.7968,-5.7634,2,sl
000070.KS,2020-09-03,2020-09-11,56654.125,55642.4457,-1.8857,6,sl
000270.KS,2020-09-03,2020-09-04,32789.125,32098.0216,-2.2077,1,sl
000720.KS,2020-09-03,2020-09-04,29637.3203,29499.8971,-0.5637,1,sl
