ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
005830.KS,2020-08-11,2020-08-13,34434.2578,35467.2855,2.9,2,tp
042700.KS,2020-08-11,2020-08-12,5671.1553,5841.2899,2.9,1,tp
000150.KS,2020-08-12,2020-08-20,40886.2969,39250.845,-4.1,5,sl
000660.KS,2020-08-12,2020-08-18,76008.875,74882.832,-1.5815,3,sl
000990.KS,2020-08-12,2020-08-13,31576.6738,32523.974,2.9,1,tp
001040.KS,2020-08-12,2020-08-18,78878.7891,75723.6375,-4.1,3,sl
007070.KS,2020-08-12,2020-08-18,37346.5039,35852.6437,-4.1,3,sl
018260.KS,2020-08-12,2020-08-20,154369.3125,148194.54,-4.1,5,sl
099750.KS,2020-08-12,2020-08-14,10599.5371,10175.5556,-4.1,2,sl
180640.KS,2020-08-12,2020-08-18,81638.1328,80752.8988,-1.1843,3,sl
011070.KS,2020-08-13,2020-08-18,156747.9844,150478.065,-4.1,2,sl
017900.KS,2020-08-13,2020-08-14,2110.8093,2026.377,-4.1,1,sl
034730.KS,2020-08-13,2020-08-14,195896.2031,194246.5509,-0.9421,1,sl
011810.KS,2020-08-14,2020-08-18,6134.6426,5899.5986,-3.9314,1,sl
034020.KS,2020-08-14,2020-08-18,8706.8535,8968.0591,2.9,1,tp
011150.KS,2020-08-19,2020-08-20,3925.0,4042.75,2.9,1,tp
036570.KS,2020-08-19,2020-08-20,791077.5625,773205.4178,-2.3592,1,sl
068270.KS,2020-08-20,2020-08-21,241816.625,238645.247,-1.4115,1,sl
021050.KS,2020-08-21,2020-08-24,3482.3623,3586.8332,2.9,1,tp
051900.KS,2020-08-21,2020-08-26,1477997.5,1418877.6,-4.1,3,sl
066570.KS,2020-08-21,2020-08-27,85108.3672,81704.0325,-4.1,4,sl
069620.KS,2020-08-21,2020-08-24,114668.4766,118108.5309,2.9,1,tp
000270.KS,2020-08-25,2020-08-31,33019.4961,34010.081,2.9,4,tp
000810.KS,2020-08-25,2020-09-01,135591.5312,139659.2772,2.9,5,tp
005940.KS,2020-08-25,2020-08-27,6363.4253,6108.8883,-4.1,2,sl
006980.KS,2020-08-25,2020-08-31,27436.7207,28259.8223,2.9,4,tp
011210.KS,2020-08-25,2020-08-26,37862.9219,38998.8095,2.9,1,tp
015760.KS,2020-08-25,2020-09-09,19215.5645,18446.9419,-4.1,11,sl
016360.KS,2020-08-25,2020-08-31,21843.0586,20969.3363,-4.1,4,sl
024110.KS,2020-08-25,2020-08-31,5591.3418,5385.4852,-3.7817,4,sl
032640.KS,2020-08-25,2020-09-01,9044.0059,8682.2456,-4.1,5,sl
039490.KS,2020-08-25,2020-08-28,89486.0391,85906.5975,-4.1,3,sl
071050.KS,2020-08-25,2020-08-27,47990.7227,46071.0938,-4.1,2,sl
096770.KS,2020-08-25,2020-08-27,152098.6875,146014.74,-4.1,2,sl
241560.KS,2020-08-25,2020-08-27,23351.2383,22417.1887,-4.1,2,sl
000660.KS,2020-08-26,2020-08-31,73944.4453,70986.6675,-4.1,3,sl
091810.KS,2020-08-26,2020-08-27,1726.4656,1657.407,-4.1,1,sl
002380.KS,2020-08-27,2020-08-28,117109.0781,115854.338,-1.1714,1,sl
009150.KS,2020-08-27,2020-08-31,120249.1797,118845.49,-1.2673,2,sl
028050.KS,2020-08-27,2020-09-21,10639.3105,10213.7381,-4.1,17,sl
028100.KS,2020-08-27,2020-08-28,12118.9316,12076.852,-0.4472,1,sl
030210.KS,2020-08-27,2020-08-31,1947.4286,2005.8514,2.9,2,tp
036570.KS,2020-08-27,2020-08-31,811771.625,779300.76,-4.1,2,sl
051600.KS,2020-08-27,2020-08-28,21708.6191,21631.0884,-0.4571,1,sl
032830.KS,2020-08-28,2020-08-31,47149.1641,48563.639,2.9,1,tp
298040.KS,2020-08-28,2020-08-31,39489.9805,40674.6799,2.9,1,tp
011200.KS,2020-08-31,2020-09-02,4821.5171,4966.1626,2.9,2,tp
192080.KS,2020-08-31,2020-09-02,55255.2969,56912.9558,2.9,2,tp
011070.KS,2020-09-01,2020-09-02,144944.6719,149293.012,2.9,1,tp
003490.KS,2020-09-02,2020-09-15,12943.1445,13331.4389,2.9,9,tp
005940.KS,2020-09-02,2020-09-22,6404.0864,6147.923,-4.1,14,sl
016360.KS,2020-09-02,2020-09-04,22433.4141,21536.0775,-4.1,2,sl
030210.KS,2020-09-02,2020-09-04,2041.0548,1959.4126,-4.1,2,sl
042700.KS,2020-09-02,2020-09-03,4787.9429,4931.5812,2.9,1,tp
047810.KS,2020-09-02,2020-09-08,22507.5703,23182.7974,2.9,4,tp
071050.KS,2020-09-02,2020-09-03,50110.1836,51613.4891,2.9,1,tp
000720.KS,2020-09-03,2020-09-04,29637.3203,29499.8971,-0.5637,1,sl
000990.KS,2020-09-03,2020-09-04,32623.1641,31318.2375,-4.1,1,sl
003090.KS,2020-09-03,2020-09-04,37705.4609,36197.2425,-4.1,1,sl
004020.KS,2020-09-03,2020-09-04,22088.3945,21697.8324,-1.8682,1,sl
005930.KS,2020-09-03,2020-09-08,49031.9961,50502.956,2.9,3,tp
010130.KS,2020-09-03,2020-09-04,332158.125,327200.541,-1.5925,1,sl
024110.KS,2020-09-03,2020-09-18,5505.0146,5365.5632,-2.6332,11,sl
051910.KS,2020-09-03,2020-09-04,719755.1875,690964.98,-4.1,1,sl
060980.KS,2020-09-03,2020-09-04,19533.6172,19002.8151,-2.8174,1,sl
069500.KS,2020-09-03,2020-09-22,28170.2656,27399.5174,-2.836,13,sl
069620.KS,2020-09-03,2020-09-11,115648.5547,111728.2585,-3.4898,6,sl
241560.KS,2020-09-03,2020-09-04,23183.2422,22255.9125,-4.1,1,sl
000720.KS,2020-09-07,2020-09-22,30232.8164,29023.5037,-4.1,11,sl
000990.KS,2020-09-07,2020-09-08,33851.6523,34867.2019,2.9,1,tp
005490.KS,2020-09-07,2020-09-09,150902.1406,148494.1104,-1.6958,2,sl
009540.KS,2020-09-07,2020-09-08,82106.8281,84570.033,2.9,1,tp
010140.KS,2020-09-07,2020-09-08,5179.4897,5334.8744,2.9,1,tp
042660.KS,2020-09-07,2020-09-11,20337.0801,20947.1925,2.9,4,tp
047040.KS,2020-09-07,2020-09-09,3005.0,2935.0,-2.4295,2,sl
068270.KS,2020-09-07,2020-09-08,241816.625,249071.1237,2.9,1,tp
099750.KS,2020-09-07,2020-09-08,9952.6172,10251.1957,2.9,1,tp
103140.KS,2020-09-07,2020-09-08,19934.9688,20533.0178,2.9,1,tp
105560.KS,2020-09-07,2020-10-05,28476.3223,29330.6119,2.9,17,tp
006280.KS,2020-09-08,2020-09-09,271079.8438,260236.65,-4.1,1,sl
078000.KS,2020-09-08,2020-09-21,8976.9062,8617.83,-4.1,9,sl
021050.KS,2020-09-09,2020-09-10,3646.063,3755.4449,2.9,1,tp
051900.KS,2020-09-09,2020-09-24,1427880.0,1370764.8,-4.1,11,sl
066570.KS,2020-09-09,2020-09-10,85014.1094,87564.5327,2.9,1,tp
006980.KS,2020-09-10,2020-09-18,28887.7012,27732.1931,-4.1,6,sl
011070.KS,2020-09-10,2020-09-17,160052.9219,153650.805,-4.1,5,sl
096770.KS,2020-09-10,2020-09-11,146982.2188,141102.93,-4.1,1,sl
105630.KS,2020-09-10,2020-09-17,14403.1699,13827.0431,-4.1,5,sl
000100.KS,2020-09-11,2020-09-15,52909.4766,54496.7609,2.9,2,tp
004310.KS,2020-09-11,2020-09-17,6269.4731,6018.6942,-4.1,4,sl
005830.KS,2020-09-11,2020-10-06,31924.1699,32881.895,2.9,14,tp
028100.KS,2020-09-11,2020-09-22,12834.2852,12329.3289,-4.0344,7,sl
028260.KS,2020-09-11,2020-09-21,99587.2969,95603.805,-4.1,6,sl
032830.KS,2020-09-11,2020-09-14,50422.3359,51935.006,2.9,1,tp
069960.KS,2020-09-11,2020-09-14,49621.1562,51109.7909,2.9,1,tp
000070.KS,2020-09-14,2020-09-16,56907.0391,54715.0686,-3.9518,2,sl
000660.KS,2020-09-14,2020-09-16,75070.4844,77322.5989,2.9,2,tp
002790.KS,2020-09-14,2020-09-22,48887.6641,47188.8614,-3.5749,6,sl
005380.KS,2020-09-14,2020-09-16,142215.5312,146481.9972,2.9,2,tp
006400.KS,2020-09-14,2020-09-15,431222.5312,444159.2072,2.9,1,tp
011210.KS,2020-09-14,2020-09-16,39050.4297,40221.9426,2.9,2,tp
012330.KS,2020-09-14,2020-09-16,208251.2969,214498.8358,2.9,2,tp
047040.KS,2020-09-14,2020-09-21,3020.0,2899.2,-4.1,5,sl
078930.KS,2020-09-14,2020-09-18,24267.0957,23690.169,-2.4774,4,sl
180640.KS,2020-09-14,2020-09-15,73375.9531,75577.2317,2.9,1,tp
004020.KS,2020-09-15,2020-09-22,21958.209,21307.2725,-3.0644,5,sl
035420.KS,2020-09-15,2020-09-17,303204.9375,291543.224,-3.9461,2,sl
051910.KS,2020-09-15,2020-09-16,680393.5625,653177.82,-4.1,1,sl
071050.KS,2020-09-15,2020-09-18,61388.7578,58933.2075,-4.1,3,sl
034020.KS,2020-09-16,2020-09-17,14121.6533,14545.3029,2.9,1,tp
034730.KS,2020-09-16,2020-09-21,177337.5938,171976.2405,-3.1232,3,sl
047810.KS,2020-09-16,2020-09-17,22555.666,22267.1048,-1.3793,1,sl
090430.KS,2020-09-16,2020-09-17,163297.0625,159935.0499,-2.1588,1,sl
192080.KS,2020-09-16,2020-09-21,59563.8398,61350.755,2.9,3,tp
003550.KS,2020-09-17,2020-09-21,71249.0859,68399.1225,-4.1,2,sl
247540.KS,2020-09-18,2020-09-21,36749.9414,37852.4396,2.9,1,tp
000100.KS,2020-09-21,2020-09-22,57199.4375,54911.46,-4.1,1,sl
009160.KS,2020-09-21,2020-09-22,4035.926,3910.8462,-3.1992,1,sl
105630.KS,2020-09-21,2020-09-22,14403.1699,13827.0431,-4.1,1,sl
241560.KS,2020-09-21,2020-09-22,23477.2324,24181.5494,2.9,1,tp
000660.KS,2020-09-23,2020-10-13,78448.6719,80802.132,2.9,10,tp
066570.KS,2020-09-23,2020-09-28,85956.6172,88535.3157,2.9,3,tp
097950.KS,2020-09-24,2020-10-05,343721.4375,354033.0806,2.9,4,tp
000990.KS,2020-09-28,2020-10-14,34534.1484,33152.7825,-4.1,8,sl
091810.KS,2020-09-28,2020-09-29,1913.063,1836.5405,-4.1,1,sl
000070.KS,2020-09-29,2020-10-15,53956.3125,51798.06,-4.1,8,sl
000810.KS,2020-09-29,2020-10-07,133754.25,137766.8775,2.9,3,tp
002790.KS,2020-09-29,2020-10-12,46150.707,47535.2282,2.9,5,tp
004020.KS,2020-09-29,2020-10-05,21350.6699,21991.19,2.9,1,tp
004310.KS,2020-09-29,2020-10-06,5795.3926,5969.2544,2.9,2,tp
005930.KS,2020-09-29,2020-10-08,50908.1055,52435.3486,2.9,4,tp
005940.KS,2020-09-29,2020-10-08,6194.0049,6379.825,2.9,4,tp
007070.KS,2020-09-29,2020-10-12,35797.0781,36870.9905,2.9,5,tp
009160.KS,2020-09-29,2020-10-08,3969.2163,4088.2928,2.9,4,tp
