ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
003550.KS,2021-10-14,2021-10-29,78938.5234,74877.2028,-5.2449,11,sl
005490.KS,2026-03-30,2026-04-20,339342.8125,385284.472,13.4384,15,tp
005830.KS,2024-10-14,2024-11-12,101322.6406,93203.0538,-8.1136,21,sl
006980.KS,2022-03-18,2022-03-22,25059.9219,27121.7855,8.1277,2,tp
009160.KS,2024-09-19,2024-10-29,7682.0918,7226.879,-6.0256,25,sl
016360.KS,2025-11-12,2025-11-19,79129.7891,73156.7544,-7.6484,5,sl
030210.KS,2020-11-09,2020-11-11,1992.3693,2150.2815,7.8259,2,tp
032640.KS,2026-07-07,2026-08-26,14730.3916,14900.0,1.0514,34,end
035420.KS,2021-12-28,2022-01-04,374196.5938,358703.1839,-4.2404,3,sl
069960.KS,2024-03-26,2024-04-19,48601.0742,46119.8066,-5.2054,17,sl
069960.KS,2024-07-31,2024-08-05,44701.5742,43100.7103,-3.6812,3,sl
207940.KS,2025-01-07,2025-01-23,1511397.875,1647937.1593,8.934,12,tp
